datum,jaar,maand,kwh pv total,kwh pv paklokaal,kwh pv stallen,kwh pv nieuw,kwh consumption,kwh grid import,kwh grid export,kenter import,kenter export
nov-23,2023,11,8561.051204,3992.12,2870.22,1698.711204,17257.12,15038,1773.00,14512,1538
dec-23,2023,12,4065.888106,2047.61,1267.89,750.3881056,21370.61,19653,330.00,19396,277
jan-24,2024,1,9282.996882,3756.94,3471.49,2054.566882,18843.94,17278,2191.00,16700,1977
feb-24,2024,2,8686.091345,4731.69,2484.17,1470.231345,20691.69,17074,1114.00,16623,996
mrt-24,2024,3,27070.41592,12748.79,8996.9,5324.72592,15513.79,13320,10555.00,12455,10168
apr-24,2024,4,37769.60454,18358.85,12193.91,7216.84454,12753.85,10435,16040.00,9567,15439
mei-24,2024,5,51762.3567,25377.91,16574.81,9809.6367,20422.91,15409,20364.00,15338,19466
jun-24,2024,6,48305.3817,23821.21,15381.05,9103.121699,22862.21,16400,17359.00,16200,16578
jul-24,2024,7,50192.731,24386.95,16211.29,9594.490998,25848.95,18873,17411.00,19215,16384
aug-24,2024,8,46547.32739,22073.63,15374.47,9099.227391,28463.63,21351,14961.00,21933,14018
sep-24,2024,9,31627.16233,14440.67,10796.62,6389.87233,26595.67,21642,9487.00,21777,8924
okt-24,2024,10,18777.00552,8251.95,6611.88,3913.175518,27546.95,23737,4442.00,24235,4038
nov-24,2024,11,8635.067395,3546.48,3196.67,1891.917395,25650.48,23661,1557.00,24104,1365
dec-24,2024,12,3733.25187,1866.31,1172.82,694.1218702,33318.31,31630,178.00,31684,151
jan-25,2025,1,7516.695095,3233.34,2690.82,1592.535095,27978.34,25807,1062.00,25693,986
feb-25,2025,2,16054.99814,6909.67,5745.13,3400.198138,20682.67,18521,4748.00,18250,4534
mrt-25,2025,3,40367.54218,17506.14,14361.62,8499.782177,16586.14,15848,16768.00,15260,16211
apr-25,2025,4,47432.61994,22131.5,15894.26,9406.859941,21503.5,18381,19009.00,18005,18453
mei-25,2025,5,57137.88186,27804.44,18427.38,10906.06186,26294.44,19516,21026.00,18773,20280
jun-25,2025,6,51366.94584,25977.24,15949.91,9439.795841,20707.24,15039,20309.00,14384,19889
jul-25,2025,7,46910.46805,23683.07,14591.54,8635.858046,17531.43,13610,19257.00,13309,19362
aug-25,2025,8,44466.74428,21965.48,14135.38,8365.88428,18605.02,14942,17305.00,14596,18041
sep-25,2025,9,30762.9453,14786.92,10036.2,5939.825304,24181.92,19840,10445.00,18889,10357
okt-25,2025,10,14867.97742,7331.14,4734.67,2802.167421,28403.14,24042,2970.00,22996,2966
