Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Czechia,CZE,2015-01-01 00:00:00,2015-01-01 01:00:00,24.2
Czechia,CZE,2015-01-01 01:00:00,2015-01-01 02:00:00,22.06
Czechia,CZE,2015-01-01 02:00:00,2015-01-01 03:00:00,20.27
Czechia,CZE,2015-01-01 03:00:00,2015-01-01 04:00:00,19.17
Czechia,CZE,2015-01-01 04:00:00,2015-01-01 05:00:00,17.9
Czechia,CZE,2015-01-01 05:00:00,2015-01-01 06:00:00,17.29
Czechia,CZE,2015-01-01 06:00:00,2015-01-01 07:00:00,17.39
Czechia,CZE,2015-01-01 07:00:00,2015-01-01 08:00:00,15.84
Czechia,CZE,2015-01-01 08:00:00,2015-01-01 09:00:00,18.55
Czechia,CZE,2015-01-01 09:00:00,2015-01-01 10:00:00,21.97
Czechia,CZE,2015-01-01 10:00:00,2015-01-01 11:00:00,23.94
Czechia,CZE,2015-01-01 11:00:00,2015-01-01 12:00:00,24.87
Czechia,CZE,2015-01-01 12:00:00,2015-01-01 13:00:00,24.0
Czechia,CZE,2015-01-01 13:00:00,2015-01-01 14:00:00,23.4
Czechia,CZE,2015-01-01 14:00:00,2015-01-01 15:00:00,23.3
Czechia,CZE,2015-01-01 15:00:00,2015-01-01 16:00:00,25.9
Czechia,CZE,2015-01-01 16:00:00,2015-01-01 17:00:00,30.5
Czechia,CZE,2015-01-01 17:00:00,2015-01-01 18:00:00,29.17
Czechia,CZE,2015-01-01 18:00:00,2015-01-01 19:00:00,27.09
Czechia,CZE,2015-01-01 19:00:00,2015-01-01 20:00:00,22.2
Czechia,CZE,2015-01-01 20:00:00,2015-01-01 21:00:00,18.0
Czechia,CZE,2015-01-01 21:00:00,2015-01-01 22:00:00,16.7
Czechia,CZE,2015-01-01 22:00:00,2015-01-01 23:00:00,10.7
Czechia,CZE,2015-01-01 23:00:00,2015-01-02 00:00:00,0.01
Czechia,CZE,2015-01-02 00:00:00,2015-01-02 01:00:00,-0.3
Czechia,CZE,2015-01-02 01:00:00,2015-01-02 02:00:00,-3.5
Czechia,CZE,2015-01-02 02:00:00,2015-01-02 03:00:00,-4.2
Czechia,CZE,2015-01-02 03:00:00,2015-01-02 04:00:00,-3.26
Czechia,CZE,2015-01-02 04:00:00,2015-01-02 05:00:00,-0.2
Czechia,CZE,2015-01-02 05:00:00,2015-01-02 06:00:00,1.8
Czechia,CZE,2015-01-02 06:00:00,2015-01-02 07:00:00,8.7
Czechia,CZE,2015-01-02 07:00:00,2015-01-02 08:00:00,13.15
Czechia,CZE,2015-01-02 08:00:00,2015-01-02 09:00:00,17.2
Czechia,CZE,2015-01-02 09:00:00,2015-01-02 10:00:00,19.0
Czechia,CZE,2015-01-02 10:00:00,2015-01-02 11:00:00,19.15
Czechia,CZE,2015-01-02 11:00:00,2015-01-02 12:00:00,20.0
Czechia,CZE,2015-01-02 12:00:00,2015-01-02 13:00:00,20.0
Czechia,CZE,2015-01-02 13:00:00,2015-01-02 14:00:00,20.5
Czechia,CZE,2015-01-02 14:00:00,2015-01-02 15:00:00,20.5
Czechia,CZE,2015-01-02 15:00:00,2015-01-02 16:00:00,23.0
Czechia,CZE,2015-01-02 16:00:00,2015-01-02 17:00:00,26.0
Czechia,CZE,2015-01-02 17:00:00,2015-01-02 18:00:00,25.5
Czechia,CZE,2015-01-02 18:00:00,2015-01-02 19:00:00,23.0
Czechia,CZE,2015-01-02 19:00:00,2015-01-02 20:00:00,17.2
Czechia,CZE,2015-01-02 20:00:00,2015-01-02 21:00:00,14.0
Czechia,CZE,2015-01-02 21:00:00,2015-01-02 22:00:00,11.65
Czechia,CZE,2015-01-02 22:00:00,2015-01-02 23:00:00,5.0
Czechia,CZE,2015-01-02 23:00:00,2015-01-03 00:00:00,0.59
Czechia,CZE,2015-01-03 00:00:00,2015-01-03 01:00:00,-0.7
Czechia,CZE,2015-01-03 01:00:00,2015-01-03 02:00:00,-2.0
Czechia,CZE,2015-01-03 02:00:00,2015-01-03 03:00:00,-1.06
Czechia,CZE,2015-01-03 03:00:00,2015-01-03 04:00:00,0.25
Czechia,CZE,2015-01-03 04:00:00,2015-01-03 05:00:00,0.99
Czechia,CZE,2015-01-03 05:00:00,2015-01-03 06:00:00,5.26
Czechia,CZE,2015-01-03 06:00:00,2015-01-03 07:00:00,11.84
Czechia,CZE,2015-01-03 07:00:00,2015-01-03 08:00:00,15.3
Czechia,CZE,2015-01-03 08:00:00,2015-01-03 09:00:00,19.05
Czechia,CZE,2015-01-03 09:00:00,2015-01-03 10:00:00,22.37
Czechia,CZE,2015-01-03 10:00:00,2015-01-03 11:00:00,23.59
Czechia,CZE,2015-01-03 11:00:00,2015-01-03 12:00:00,24.22
Czechia,CZE,2015-01-03 12:00:00,2015-01-03 13:00:00,24.0
Czechia,CZE,2015-01-03 13:00:00,2015-01-03 14:00:00,26.94
Czechia,CZE,2015-01-03 14:00:00,2015-01-03 15:00:00,29.4
Czechia,CZE,2015-01-03 15:00:00,2015-01-03 16:00:00,31.96
Czechia,CZE,2015-01-03 16:00:00,2015-01-03 17:00:00,38.22
Czechia,CZE,2015-01-03 17:00:00,2015-01-03 18:00:00,40.0
Czechia,CZE,2015-01-03 18:00:00,2015-01-03 19:00:00,36.4
Czechia,CZE,2015-01-03 19:00:00,2015-01-03 20:00:00,29.7
Czechia,CZE,2015-01-03 20:00:00,2015-01-03 21:00:00,25.3
Czechia,CZE,2015-01-03 21:00:00,2015-01-03 22:00:00,20.29
Czechia,CZE,2015-01-03 22:00:00,2015-01-03 23:00:00,12.54
Czechia,CZE,2015-01-03 23:00:00,2015-01-04 00:00:00,5.0
Czechia,CZE,2015-01-04 00:00:00,2015-01-04 01:00:00,3.0
Czechia,CZE,2015-01-04 01:00:00,2015-01-04 02:00:00,2.0
Czechia,CZE,2015-01-04 02:00:00,2015-01-04 03:00:00,0.0
Czechia,CZE,2015-01-04 03:00:00,2015-01-04 04:00:00,0.01
Czechia,CZE,2015-01-04 04:00:00,2015-01-04 05:00:00,-1.45
Czechia,CZE,2015-01-04 05:00:00,2015-01-04 06:00:00,-2.0
Czechia,CZE,2015-01-04 06:00:00,2015-01-04 07:00:00,0.82
Czechia,CZE,2015-01-04 07:00:00,2015-01-04 08:00:00,6.5
Czechia,CZE,2015-01-04 08:00:00,2015-01-04 09:00:00,12.0
Czechia,CZE,2015-01-04 09:00:00,2015-01-04 10:00:00,14.5
Czechia,CZE,2015-01-04 10:00:00,2015-01-04 11:00:00,18.44
Czechia,CZE,2015-01-04 11:00:00,2015-01-04 12:00:00,17.36
Czechia,CZE,2015-01-04 12:00:00,2015-01-04 13:00:00,14.76
Czechia,CZE,2015-01-04 13:00:00,2015-01-04 14:00:00,14.7
