Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Finland,FIN,2015-01-01 00:00:00,2015-01-01 02:00:00,23.37
Finland,FIN,2015-01-01 01:00:00,2015-01-01 03:00:00,19.33
Finland,FIN,2015-01-01 02:00:00,2015-01-01 04:00:00,17.66
Finland,FIN,2015-01-01 03:00:00,2015-01-01 05:00:00,17.53
Finland,FIN,2015-01-01 04:00:00,2015-01-01 06:00:00,18.07
Finland,FIN,2015-01-01 05:00:00,2015-01-01 07:00:00,25.23
Finland,FIN,2015-01-01 06:00:00,2015-01-01 08:00:00,26.8
Finland,FIN,2015-01-01 07:00:00,2015-01-01 09:00:00,26.97
Finland,FIN,2015-01-01 08:00:00,2015-01-01 10:00:00,26.29
Finland,FIN,2015-01-01 09:00:00,2015-01-01 11:00:00,26.06
Finland,FIN,2015-01-01 10:00:00,2015-01-01 12:00:00,25.56
Finland,FIN,2015-01-01 11:00:00,2015-01-01 13:00:00,25.91
Finland,FIN,2015-01-01 12:00:00,2015-01-01 14:00:00,25.42
Finland,FIN,2015-01-01 13:00:00,2015-01-01 15:00:00,26.78
Finland,FIN,2015-01-01 14:00:00,2015-01-01 16:00:00,27.51
Finland,FIN,2015-01-01 15:00:00,2015-01-01 17:00:00,28.32
Finland,FIN,2015-01-01 16:00:00,2015-01-01 18:00:00,28.36
Finland,FIN,2015-01-01 17:00:00,2015-01-01 19:00:00,28.18
Finland,FIN,2015-01-01 18:00:00,2015-01-01 20:00:00,27.81
Finland,FIN,2015-01-01 19:00:00,2015-01-01 21:00:00,27.46
Finland,FIN,2015-01-01 20:00:00,2015-01-01 22:00:00,27.06
Finland,FIN,2015-01-01 21:00:00,2015-01-01 23:00:00,26.4
Finland,FIN,2015-01-01 22:00:00,2015-01-02 00:00:00,18.36
Finland,FIN,2015-01-01 23:00:00,2015-01-02 01:00:00,17.78
Finland,FIN,2015-01-02 00:00:00,2015-01-02 02:00:00,9.62
Finland,FIN,2015-01-02 01:00:00,2015-01-02 03:00:00,7.67
Finland,FIN,2015-01-02 02:00:00,2015-01-02 04:00:00,10.83
Finland,FIN,2015-01-02 03:00:00,2015-01-02 05:00:00,23.14
Finland,FIN,2015-01-02 04:00:00,2015-01-02 06:00:00,26.1
Finland,FIN,2015-01-02 05:00:00,2015-01-02 07:00:00,27.25
Finland,FIN,2015-01-02 06:00:00,2015-01-02 08:00:00,28.37
Finland,FIN,2015-01-02 07:00:00,2015-01-02 09:00:00,28.37
Finland,FIN,2015-01-02 08:00:00,2015-01-02 10:00:00,28.32
Finland,FIN,2015-01-02 09:00:00,2015-01-02 11:00:00,28.3
Finland,FIN,2015-01-02 10:00:00,2015-01-02 12:00:00,28.39
Finland,FIN,2015-01-02 11:00:00,2015-01-02 13:00:00,28.3
Finland,FIN,2015-01-02 12:00:00,2015-01-02 14:00:00,28.7
Finland,FIN,2015-01-02 13:00:00,2015-01-02 15:00:00,29.14
Finland,FIN,2015-01-02 14:00:00,2015-01-02 16:00:00,29.59
Finland,FIN,2015-01-02 15:00:00,2015-01-02 17:00:00,29.44
Finland,FIN,2015-01-02 16:00:00,2015-01-02 18:00:00,29.43
Finland,FIN,2015-01-02 17:00:00,2015-01-02 19:00:00,28.48
Finland,FIN,2015-01-02 18:00:00,2015-01-02 20:00:00,28.48
Finland,FIN,2015-01-02 19:00:00,2015-01-02 21:00:00,27.85
Finland,FIN,2015-01-02 20:00:00,2015-01-02 22:00:00,27.45
Finland,FIN,2015-01-02 21:00:00,2015-01-02 23:00:00,27.2
Finland,FIN,2015-01-02 22:00:00,2015-01-03 00:00:00,25.94
Finland,FIN,2015-01-02 23:00:00,2015-01-03 01:00:00,17.57
Finland,FIN,2015-01-03 00:00:00,2015-01-03 02:00:00,16.87
Finland,FIN,2015-01-03 01:00:00,2015-01-03 03:00:00,5.75
Finland,FIN,2015-01-03 02:00:00,2015-01-03 04:00:00,5.09
Finland,FIN,2015-01-03 03:00:00,2015-01-03 05:00:00,7.64
Finland,FIN,2015-01-03 04:00:00,2015-01-03 06:00:00,23.85
Finland,FIN,2015-01-03 05:00:00,2015-01-03 07:00:00,22.92
Finland,FIN,2015-01-03 06:00:00,2015-01-03 08:00:00,26.75
Finland,FIN,2015-01-03 07:00:00,2015-01-03 09:00:00,26.98
Finland,FIN,2015-01-03 08:00:00,2015-01-03 10:00:00,27.52
Finland,FIN,2015-01-03 09:00:00,2015-01-03 11:00:00,27.72
Finland,FIN,2015-01-03 10:00:00,2015-01-03 12:00:00,27.73
Finland,FIN,2015-01-03 11:00:00,2015-01-03 13:00:00,27.66
Finland,FIN,2015-01-03 12:00:00,2015-01-03 14:00:00,27.65
Finland,FIN,2015-01-03 13:00:00,2015-01-03 15:00:00,27.81
Finland,FIN,2015-01-03 14:00:00,2015-01-03 16:00:00,30.21
Finland,FIN,2015-01-03 15:00:00,2015-01-03 17:00:00,31.09
Finland,FIN,2015-01-03 16:00:00,2015-01-03 18:00:00,31.07
Finland,FIN,2015-01-03 17:00:00,2015-01-03 19:00:00,30.65
Finland,FIN,2015-01-03 18:00:00,2015-01-03 20:00:00,29.46
Finland,FIN,2015-01-03 19:00:00,2015-01-03 21:00:00,28.69
Finland,FIN,2015-01-03 20:00:00,2015-01-03 22:00:00,27.93
Finland,FIN,2015-01-03 21:00:00,2015-01-03 23:00:00,27.7
Finland,FIN,2015-01-03 22:00:00,2015-01-04 00:00:00,27.25
Finland,FIN,2015-01-03 23:00:00,2015-01-04 01:00:00,27.55
Finland,FIN,2015-01-04 00:00:00,2015-01-04 02:00:00,27.38
Finland,FIN,2015-01-04 01:00:00,2015-01-04 03:00:00,27.17
Finland,FIN,2015-01-04 02:00:00,2015-01-04 04:00:00,27.03
Finland,FIN,2015-01-04 03:00:00,2015-01-04 05:00:00,27.04
Finland,FIN,2015-01-04 04:00:00,2015-01-04 06:00:00,27.19
Finland,FIN,2015-01-04 05:00:00,2015-01-04 07:00:00,27.13
Finland,FIN,2015-01-04 06:00:00,2015-01-04 08:00:00,27.06
Finland,FIN,2015-01-04 07:00:00,2015-01-04 09:00:00,27.63
Finland,FIN,2015-01-04 08:00:00,2015-01-04 10:00:00,28.03
Finland,FIN,2015-01-04 09:00:00,2015-01-04 11:00:00,28.24
Finland,FIN,2015-01-04 10:00:00,2015-01-04 12:00:00,28.32
Finland,FIN,2015-01-04 11:00:00,2015-01-04 13:00:00,28.24
Finland,FIN,2015-01-04 12:00:00,2015-01-04 14:00:00,28.27
Finland,FIN,2015-01-04 13:00:00,2015-01-04 15:00:00,28.32
Finland,FIN,2015-01-04 14:00:00,2015-01-04 16:00:00,31.0
Finland,FIN,2015-01-04 15:00:00,2015-01-04 17:00:00,31.1
Finland,FIN,2015-01-04 16:00:00,2015-01-04 18:00:00,31.04
Finland,FIN,2015-01-04 17:00:00,2015-01-04 19:00:00,31.08
Finland,FIN,2015-01-04 18:00:00,2015-01-04 20:00:00,30.91
Finland,FIN,2015-01-04 19:00:00,2015-01-04 21:00:00,29.45
Finland,FIN,2015-01-04 20:00:00,2015-01-04 22:00:00,29.78
Finland,FIN,2015-01-04 21:00:00,2015-01-04 23:00:00,29.03
Finland,FIN,2015-01-04 22:00:00,2015-01-05 00:00:00,28.02
Finland,FIN,2015-01-04 23:00:00,2015-01-05 01:00:00,29.06
Finland,FIN,2015-01-05 00:00:00,2015-01-05 02:00:00,28.88
Finland,FIN,2015-01-05 01:00:00,2015-01-05 03:00:00,28.87
Finland,FIN,2015-01-05 02:00:00,2015-01-05 04:00:00,28.97
Finland,FIN,2015-01-05 03:00:00,2015-01-05 05:00:00,29.34
Finland,FIN,2015-01-05 04:00:00,2015-01-05 06:00:00,35.96
Finland,FIN,2015-01-05 05:00:00,2015-01-05 07:00:00,38.91
Finland,FIN,2015-01-05 06:00:00,2015-01-05 08:00:00,45.02
Finland,FIN,2015-01-05 07:00:00,2015-01-05 09:00:00,45.04
Finland,FIN,2015-01-05 08:00:00,2015-01-05 10:00:00,45.04
Finland,FIN,2015-01-05 09:00:00,2015-01-05 11:00:00,45.02
Finland,FIN,2015-01-05 10:00:00,2015-01-05 12:00:00,45.03
Finland,FIN,2015-01-05 11:00:00,2015-01-05 13:00:00,45.05
Finland,FIN,2015-01-05 12:00:00,2015-01-05 14:00:00,45.05
