Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Greece,GRC,2015-01-01 00:00:00,2015-01-01 02:00:00,48.78
Greece,GRC,2015-01-01 01:00:00,2015-01-01 03:00:00,31.1
Greece,GRC,2015-01-01 02:00:00,2015-01-01 04:00:00,20.78
Greece,GRC,2015-01-01 03:00:00,2015-01-01 05:00:00,25.4
Greece,GRC,2015-01-01 04:00:00,2015-01-01 06:00:00,26.0
Greece,GRC,2015-01-01 05:00:00,2015-01-01 07:00:00,26.0
Greece,GRC,2015-01-01 06:00:00,2015-01-01 08:00:00,38.0
Greece,GRC,2015-01-01 07:00:00,2015-01-01 09:00:00,33.0
Greece,GRC,2015-01-01 08:00:00,2015-01-01 10:00:00,40.8
Greece,GRC,2015-01-01 09:00:00,2015-01-01 11:00:00,51.29
Greece,GRC,2015-01-01 10:00:00,2015-01-01 12:00:00,52.01
Greece,GRC,2015-01-01 11:00:00,2015-01-01 13:00:00,52.18
Greece,GRC,2015-01-01 12:00:00,2015-01-01 14:00:00,32.0
Greece,GRC,2015-01-01 13:00:00,2015-01-01 15:00:00,32.0
Greece,GRC,2015-01-01 14:00:00,2015-01-01 16:00:00,49.44
Greece,GRC,2015-01-01 15:00:00,2015-01-01 17:00:00,51.3
Greece,GRC,2015-01-01 16:00:00,2015-01-01 18:00:00,53.04
Greece,GRC,2015-01-01 17:00:00,2015-01-01 19:00:00,49.0
Greece,GRC,2015-01-01 18:00:00,2015-01-01 20:00:00,51.33
Greece,GRC,2015-01-01 19:00:00,2015-01-01 21:00:00,56.03
Greece,GRC,2015-01-01 20:00:00,2015-01-01 22:00:00,63.48
Greece,GRC,2015-01-01 21:00:00,2015-01-01 23:00:00,53.0
Greece,GRC,2015-01-01 22:00:00,2015-01-02 00:00:00,52.56
Greece,GRC,2015-01-01 23:00:00,2015-01-02 01:00:00,52.42
Greece,GRC,2015-01-02 00:00:00,2015-01-02 02:00:00,49.8
Greece,GRC,2015-01-02 01:00:00,2015-01-02 03:00:00,48.52
Greece,GRC,2015-01-02 02:00:00,2015-01-02 04:00:00,31.0
Greece,GRC,2015-01-02 03:00:00,2015-01-02 05:00:00,30.0
Greece,GRC,2015-01-02 04:00:00,2015-01-02 06:00:00,49.8
Greece,GRC,2015-01-02 05:00:00,2015-01-02 07:00:00,54.35
Greece,GRC,2015-01-02 06:00:00,2015-01-02 08:00:00,63.98
Greece,GRC,2015-01-02 07:00:00,2015-01-02 09:00:00,67.0
Greece,GRC,2015-01-02 08:00:00,2015-01-02 10:00:00,67.0
Greece,GRC,2015-01-02 09:00:00,2015-01-02 11:00:00,67.0
Greece,GRC,2015-01-02 10:00:00,2015-01-02 12:00:00,62.0
Greece,GRC,2015-01-02 11:00:00,2015-01-02 13:00:00,54.34
Greece,GRC,2015-01-02 12:00:00,2015-01-02 14:00:00,54.35
Greece,GRC,2015-01-02 13:00:00,2015-01-02 15:00:00,63.98
Greece,GRC,2015-01-02 14:00:00,2015-01-02 16:00:00,65.01
Greece,GRC,2015-01-02 15:00:00,2015-01-02 17:00:00,68.65
Greece,GRC,2015-01-02 16:00:00,2015-01-02 18:00:00,75.0
Greece,GRC,2015-01-02 17:00:00,2015-01-02 19:00:00,64.81
Greece,GRC,2015-01-02 18:00:00,2015-01-02 20:00:00,76.0
Greece,GRC,2015-01-02 19:00:00,2015-01-02 21:00:00,81.5
Greece,GRC,2015-01-02 20:00:00,2015-01-02 22:00:00,66.0
Greece,GRC,2015-01-02 21:00:00,2015-01-02 23:00:00,64.74
Greece,GRC,2015-01-02 22:00:00,2015-01-03 00:00:00,76.93
Greece,GRC,2015-01-02 23:00:00,2015-01-03 01:00:00,53.01
Greece,GRC,2015-01-03 00:00:00,2015-01-03 02:00:00,52.99
Greece,GRC,2015-01-03 01:00:00,2015-01-03 03:00:00,52.1
Greece,GRC,2015-01-03 02:00:00,2015-01-03 04:00:00,48.87
Greece,GRC,2015-01-03 03:00:00,2015-01-03 05:00:00,52.07
Greece,GRC,2015-01-03 04:00:00,2015-01-03 06:00:00,53.12
Greece,GRC,2015-01-03 05:00:00,2015-01-03 07:00:00,75.91
Greece,GRC,2015-01-03 06:00:00,2015-01-03 08:00:00,75.75
Greece,GRC,2015-01-03 07:00:00,2015-01-03 09:00:00,76.41
Greece,GRC,2015-01-03 08:00:00,2015-01-03 10:00:00,75.75
Greece,GRC,2015-01-03 09:00:00,2015-01-03 11:00:00,63.35
Greece,GRC,2015-01-03 10:00:00,2015-01-03 12:00:00,63.0
Greece,GRC,2015-01-03 11:00:00,2015-01-03 13:00:00,53.19
Greece,GRC,2015-01-03 12:00:00,2015-01-03 14:00:00,53.04
Greece,GRC,2015-01-03 13:00:00,2015-01-03 15:00:00,63.1
Greece,GRC,2015-01-03 14:00:00,2015-01-03 16:00:00,64.75
Greece,GRC,2015-01-03 15:00:00,2015-01-03 17:00:00,64.76
Greece,GRC,2015-01-03 16:00:00,2015-01-03 18:00:00,64.81
Greece,GRC,2015-01-03 17:00:00,2015-01-03 19:00:00,64.76
Greece,GRC,2015-01-03 18:00:00,2015-01-03 20:00:00,64.83
Greece,GRC,2015-01-03 19:00:00,2015-01-03 21:00:00,63.49
Greece,GRC,2015-01-03 20:00:00,2015-01-03 22:00:00,63.1
Greece,GRC,2015-01-03 21:00:00,2015-01-03 23:00:00,53.18
Greece,GRC,2015-01-03 22:00:00,2015-01-04 00:00:00,80.51
Greece,GRC,2015-01-03 23:00:00,2015-01-04 01:00:00,63.36
Greece,GRC,2015-01-04 00:00:00,2015-01-04 02:00:00,52.67
Greece,GRC,2015-01-04 01:00:00,2015-01-04 03:00:00,49.0
Greece,GRC,2015-01-04 02:00:00,2015-01-04 04:00:00,17.17
Greece,GRC,2015-01-04 03:00:00,2015-01-04 05:00:00,9.22
Greece,GRC,2015-01-04 04:00:00,2015-01-04 06:00:00,9.0
Greece,GRC,2015-01-04 05:00:00,2015-01-04 07:00:00,36.47
Greece,GRC,2015-01-04 06:00:00,2015-01-04 08:00:00,46.0
Greece,GRC,2015-01-04 07:00:00,2015-01-04 09:00:00,59.7
Greece,GRC,2015-01-04 08:00:00,2015-01-04 10:00:00,63.4
Greece,GRC,2015-01-04 09:00:00,2015-01-04 11:00:00,63.4
Greece,GRC,2015-01-04 10:00:00,2015-01-04 12:00:00,63.0
Greece,GRC,2015-01-04 11:00:00,2015-01-04 13:00:00,63.0
Greece,GRC,2015-01-04 12:00:00,2015-01-04 14:00:00,51.38
Greece,GRC,2015-01-04 13:00:00,2015-01-04 15:00:00,63.0
Greece,GRC,2015-01-04 14:00:00,2015-01-04 16:00:00,63.0
Greece,GRC,2015-01-04 15:00:00,2015-01-04 17:00:00,63.0
Greece,GRC,2015-01-04 16:00:00,2015-01-04 18:00:00,63.74
Greece,GRC,2015-01-04 17:00:00,2015-01-04 19:00:00,80.5
Greece,GRC,2015-01-04 18:00:00,2015-01-04 20:00:00,63.54
Greece,GRC,2015-01-04 19:00:00,2015-01-04 21:00:00,63.57
Greece,GRC,2015-01-04 20:00:00,2015-01-04 22:00:00,52.47
Greece,GRC,2015-01-04 21:00:00,2015-01-04 23:00:00,51.38
Greece,GRC,2015-01-04 22:00:00,2015-01-05 00:00:00,52.42
Greece,GRC,2015-01-04 23:00:00,2015-01-05 01:00:00,48.76
Greece,GRC,2015-01-05 00:00:00,2015-01-05 02:00:00,37.07
Greece,GRC,2015-01-05 01:00:00,2015-01-05 03:00:00,33.14
Greece,GRC,2015-01-05 02:00:00,2015-01-05 04:00:00,25.4
Greece,GRC,2015-01-05 03:00:00,2015-01-05 05:00:00,33.15
Greece,GRC,2015-01-05 04:00:00,2015-01-05 06:00:00,49.52
Greece,GRC,2015-01-05 05:00:00,2015-01-05 07:00:00,63.4
Greece,GRC,2015-01-05 06:00:00,2015-01-05 08:00:00,63.46
Greece,GRC,2015-01-05 07:00:00,2015-01-05 09:00:00,64.29
Greece,GRC,2015-01-05 08:00:00,2015-01-05 10:00:00,77.73
Greece,GRC,2015-01-05 09:00:00,2015-01-05 11:00:00,80.51
Greece,GRC,2015-01-05 10:00:00,2015-01-05 12:00:00,63.48
Greece,GRC,2015-01-05 11:00:00,2015-01-05 13:00:00,63.49
Greece,GRC,2015-01-05 12:00:00,2015-01-05 14:00:00,63.53
Greece,GRC,2015-01-05 13:00:00,2015-01-05 15:00:00,63.5
Greece,GRC,2015-01-05 14:00:00,2015-01-05 16:00:00,63.58
Greece,GRC,2015-01-05 15:00:00,2015-01-05 17:00:00,64.33
Greece,GRC,2015-01-05 16:00:00,2015-01-05 18:00:00,68.64
Greece,GRC,2015-01-05 17:00:00,2015-01-05 19:00:00,69.98
Greece,GRC,2015-01-05 18:00:00,2015-01-05 20:00:00,80.5
Greece,GRC,2015-01-05 19:00:00,2015-01-05 21:00:00,64.27
Greece,GRC,2015-01-05 20:00:00,2015-01-05 22:00:00,62.1
Greece,GRC,2015-01-05 21:00:00,2015-01-05 23:00:00,52.25
Greece,GRC,2015-01-05 22:00:00,2015-01-06 00:00:00,79.0
Greece,GRC,2015-01-05 23:00:00,2015-01-06 01:00:00,51.2
Greece,GRC,2015-01-06 00:00:00,2015-01-06 02:00:00,48.65
Greece,GRC,2015-01-06 01:00:00,2015-01-06 03:00:00,48.65
Greece,GRC,2015-01-06 02:00:00,2015-01-06 04:00:00,35.0
Greece,GRC,2015-01-06 03:00:00,2015-01-06 05:00:00,31.34
Greece,GRC,2015-01-06 04:00:00,2015-01-06 06:00:00,48.76
Greece,GRC,2015-01-06 05:00:00,2015-01-06 07:00:00,51.19
Greece,GRC,2015-01-06 06:00:00,2015-01-06 08:00:00,52.47
Greece,GRC,2015-01-06 07:00:00,2015-01-06 09:00:00,62.0
Greece,GRC,2015-01-06 08:00:00,2015-01-06 10:00:00,63.41
Greece,GRC,2015-01-06 09:00:00,2015-01-06 11:00:00,80.5
Greece,GRC,2015-01-06 10:00:00,2015-01-06 12:00:00,58.81
Greece,GRC,2015-01-06 11:00:00,2015-01-06 13:00:00,51.16
Greece,GRC,2015-01-06 12:00:00,2015-01-06 14:00:00,48.8
Greece,GRC,2015-01-06 13:00:00,2015-01-06 15:00:00,63.48
Greece,GRC,2015-01-06 14:00:00,2015-01-06 16:00:00,63.49
Greece,GRC,2015-01-06 15:00:00,2015-01-06 17:00:00,63.1
Greece,GRC,2015-01-06 16:00:00,2015-01-06 18:00:00,63.5
Greece,GRC,2015-01-06 17:00:00,2015-01-06 19:00:00,65.85
Greece,GRC,2015-01-06 18:00:00,2015-01-06 20:00:00,71.1
Greece,GRC,2015-01-06 19:00:00,2015-01-06 21:00:00,63.59
Greece,GRC,2015-01-06 20:00:00,2015-01-06 22:00:00,63.48
Greece,GRC,2015-01-06 21:00:00,2015-01-06 23:00:00,63.52
