Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Latvia,LVA,2015-01-01 00:00:00,2015-01-01 02:00:00,29.59
Latvia,LVA,2015-01-01 01:00:00,2015-01-01 03:00:00,29.56
Latvia,LVA,2015-01-01 02:00:00,2015-01-01 04:00:00,29.5
Latvia,LVA,2015-01-01 03:00:00,2015-01-01 05:00:00,17.53
Latvia,LVA,2015-01-01 04:00:00,2015-01-01 06:00:00,30.52
Latvia,LVA,2015-01-01 05:00:00,2015-01-01 07:00:00,30.51
Latvia,LVA,2015-01-01 06:00:00,2015-01-01 08:00:00,30.52
Latvia,LVA,2015-01-01 07:00:00,2015-01-01 09:00:00,30.53
Latvia,LVA,2015-01-01 08:00:00,2015-01-01 10:00:00,26.29
Latvia,LVA,2015-01-01 09:00:00,2015-01-01 11:00:00,26.06
Latvia,LVA,2015-01-01 10:00:00,2015-01-01 12:00:00,25.56
Latvia,LVA,2015-01-01 11:00:00,2015-01-01 13:00:00,25.91
Latvia,LVA,2015-01-01 12:00:00,2015-01-01 14:00:00,25.42
Latvia,LVA,2015-01-01 13:00:00,2015-01-01 15:00:00,45.01
Latvia,LVA,2015-01-01 14:00:00,2015-01-01 16:00:00,45.08
Latvia,LVA,2015-01-01 15:00:00,2015-01-01 17:00:00,46.0
Latvia,LVA,2015-01-01 16:00:00,2015-01-01 18:00:00,46.0
Latvia,LVA,2015-01-01 17:00:00,2015-01-01 19:00:00,46.01
Latvia,LVA,2015-01-01 18:00:00,2015-01-01 20:00:00,46.02
Latvia,LVA,2015-01-01 19:00:00,2015-01-01 21:00:00,45.08
Latvia,LVA,2015-01-01 20:00:00,2015-01-01 22:00:00,31.57
Latvia,LVA,2015-01-01 21:00:00,2015-01-01 23:00:00,28.05
Latvia,LVA,2015-01-01 22:00:00,2015-01-02 00:00:00,28.07
Latvia,LVA,2015-01-01 23:00:00,2015-01-02 01:00:00,28.1
Latvia,LVA,2015-01-02 00:00:00,2015-01-02 02:00:00,9.62
Latvia,LVA,2015-01-02 01:00:00,2015-01-02 03:00:00,7.67
Latvia,LVA,2015-01-02 02:00:00,2015-01-02 04:00:00,10.83
Latvia,LVA,2015-01-02 03:00:00,2015-01-02 05:00:00,23.14
Latvia,LVA,2015-01-02 04:00:00,2015-01-02 06:00:00,26.1
Latvia,LVA,2015-01-02 05:00:00,2015-01-02 07:00:00,28.48
Latvia,LVA,2015-01-02 06:00:00,2015-01-02 08:00:00,28.37
Latvia,LVA,2015-01-02 07:00:00,2015-01-02 09:00:00,28.37
Latvia,LVA,2015-01-02 08:00:00,2015-01-02 10:00:00,28.32
Latvia,LVA,2015-01-02 09:00:00,2015-01-02 11:00:00,39.99
Latvia,LVA,2015-01-02 10:00:00,2015-01-02 12:00:00,28.39
Latvia,LVA,2015-01-02 11:00:00,2015-01-02 13:00:00,28.3
Latvia,LVA,2015-01-02 12:00:00,2015-01-02 14:00:00,28.7
Latvia,LVA,2015-01-02 13:00:00,2015-01-02 15:00:00,29.14
Latvia,LVA,2015-01-02 14:00:00,2015-01-02 16:00:00,29.59
Latvia,LVA,2015-01-02 15:00:00,2015-01-02 17:00:00,29.44
Latvia,LVA,2015-01-02 16:00:00,2015-01-02 18:00:00,29.43
Latvia,LVA,2015-01-02 17:00:00,2015-01-02 19:00:00,28.48
Latvia,LVA,2015-01-02 18:00:00,2015-01-02 20:00:00,28.38
Latvia,LVA,2015-01-02 19:00:00,2015-01-02 21:00:00,27.85
Latvia,LVA,2015-01-02 20:00:00,2015-01-02 22:00:00,27.45
Latvia,LVA,2015-01-02 21:00:00,2015-01-02 23:00:00,28.06
Latvia,LVA,2015-01-02 22:00:00,2015-01-03 00:00:00,28.01
Latvia,LVA,2015-01-02 23:00:00,2015-01-03 01:00:00,17.57
Latvia,LVA,2015-01-03 00:00:00,2015-01-03 02:00:00,16.87
Latvia,LVA,2015-01-03 01:00:00,2015-01-03 03:00:00,5.75
Latvia,LVA,2015-01-03 02:00:00,2015-01-03 04:00:00,5.09
Latvia,LVA,2015-01-03 03:00:00,2015-01-03 05:00:00,7.64
Latvia,LVA,2015-01-03 04:00:00,2015-01-03 06:00:00,23.85
Latvia,LVA,2015-01-03 05:00:00,2015-01-03 07:00:00,22.92
Latvia,LVA,2015-01-03 06:00:00,2015-01-03 08:00:00,40.01
Latvia,LVA,2015-01-03 07:00:00,2015-01-03 09:00:00,26.98
Latvia,LVA,2015-01-03 08:00:00,2015-01-03 10:00:00,27.52
Latvia,LVA,2015-01-03 09:00:00,2015-01-03 11:00:00,40.02
Latvia,LVA,2015-01-03 10:00:00,2015-01-03 12:00:00,40.03
Latvia,LVA,2015-01-03 11:00:00,2015-01-03 13:00:00,40.03
Latvia,LVA,2015-01-03 12:00:00,2015-01-03 14:00:00,39.98
Latvia,LVA,2015-01-03 13:00:00,2015-01-03 15:00:00,27.81
Latvia,LVA,2015-01-03 14:00:00,2015-01-03 16:00:00,40.03
Latvia,LVA,2015-01-03 15:00:00,2015-01-03 17:00:00,40.04
Latvia,LVA,2015-01-03 16:00:00,2015-01-03 18:00:00,31.07
Latvia,LVA,2015-01-03 17:00:00,2015-01-03 19:00:00,30.65
Latvia,LVA,2015-01-03 18:00:00,2015-01-03 20:00:00,40.01
Latvia,LVA,2015-01-03 19:00:00,2015-01-03 21:00:00,28.69
Latvia,LVA,2015-01-03 20:00:00,2015-01-03 22:00:00,31.52
Latvia,LVA,2015-01-03 21:00:00,2015-01-03 23:00:00,28.02
Latvia,LVA,2015-01-03 22:00:00,2015-01-04 00:00:00,27.25
Latvia,LVA,2015-01-03 23:00:00,2015-01-04 01:00:00,27.55
Latvia,LVA,2015-01-04 00:00:00,2015-01-04 02:00:00,27.38
Latvia,LVA,2015-01-04 01:00:00,2015-01-04 03:00:00,27.17
Latvia,LVA,2015-01-04 02:00:00,2015-01-04 04:00:00,27.03
Latvia,LVA,2015-01-04 03:00:00,2015-01-04 05:00:00,27.04
Latvia,LVA,2015-01-04 04:00:00,2015-01-04 06:00:00,27.19
Latvia,LVA,2015-01-04 05:00:00,2015-01-04 07:00:00,27.13
Latvia,LVA,2015-01-04 06:00:00,2015-01-04 08:00:00,27.06
Latvia,LVA,2015-01-04 07:00:00,2015-01-04 09:00:00,27.63
Latvia,LVA,2015-01-04 08:00:00,2015-01-04 10:00:00,28.03
Latvia,LVA,2015-01-04 09:00:00,2015-01-04 11:00:00,28.24
Latvia,LVA,2015-01-04 10:00:00,2015-01-04 12:00:00,28.32
Latvia,LVA,2015-01-04 11:00:00,2015-01-04 13:00:00,28.24
Latvia,LVA,2015-01-04 12:00:00,2015-01-04 14:00:00,28.27
Latvia,LVA,2015-01-04 13:00:00,2015-01-04 15:00:00,28.32
Latvia,LVA,2015-01-04 14:00:00,2015-01-04 16:00:00,31.0
Latvia,LVA,2015-01-04 15:00:00,2015-01-04 17:00:00,31.1
Latvia,LVA,2015-01-04 16:00:00,2015-01-04 18:00:00,40.01
Latvia,LVA,2015-01-04 17:00:00,2015-01-04 19:00:00,40.0
Latvia,LVA,2015-01-04 18:00:00,2015-01-04 20:00:00,30.91
Latvia,LVA,2015-01-04 19:00:00,2015-01-04 21:00:00,29.66
Latvia,LVA,2015-01-04 20:00:00,2015-01-04 22:00:00,29.78
Latvia,LVA,2015-01-04 21:00:00,2015-01-04 23:00:00,29.03
Latvia,LVA,2015-01-04 22:00:00,2015-01-05 00:00:00,28.02
Latvia,LVA,2015-01-04 23:00:00,2015-01-05 01:00:00,29.06
Latvia,LVA,2015-01-05 00:00:00,2015-01-05 02:00:00,28.88
Latvia,LVA,2015-01-05 01:00:00,2015-01-05 03:00:00,28.87
Latvia,LVA,2015-01-05 02:00:00,2015-01-05 04:00:00,28.97
Latvia,LVA,2015-01-05 03:00:00,2015-01-05 05:00:00,29.34
