Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Montenegro,MNE,2023-04-27 00:00:00,2023-04-27 02:00:00,100.18
Montenegro,MNE,2023-04-27 01:00:00,2023-04-27 03:00:00,100.48
Montenegro,MNE,2023-04-27 02:00:00,2023-04-27 04:00:00,100.58
Montenegro,MNE,2023-04-27 03:00:00,2023-04-27 05:00:00,103.48
Montenegro,MNE,2023-04-27 04:00:00,2023-04-27 06:00:00,122.28
Montenegro,MNE,2023-04-27 05:00:00,2023-04-27 07:00:00,133.58
Montenegro,MNE,2023-04-27 06:00:00,2023-04-27 08:00:00,124.36
Montenegro,MNE,2023-04-27 07:00:00,2023-04-27 09:00:00,110.96
Montenegro,MNE,2023-04-27 08:00:00,2023-04-27 10:00:00,100.44
Montenegro,MNE,2023-04-27 09:00:00,2023-04-27 11:00:00,99.94
Montenegro,MNE,2023-04-27 10:00:00,2023-04-27 12:00:00,92.88
Montenegro,MNE,2023-04-27 11:00:00,2023-04-27 13:00:00,95.58
Montenegro,MNE,2023-04-27 12:00:00,2023-04-27 14:00:00,97.07
Montenegro,MNE,2023-04-27 13:00:00,2023-04-27 15:00:00,98.58
Montenegro,MNE,2023-04-27 14:00:00,2023-04-27 16:00:00,101.58
Montenegro,MNE,2023-04-27 15:00:00,2023-04-27 17:00:00,114.58
Montenegro,MNE,2023-04-27 16:00:00,2023-04-27 18:00:00,124.48
Montenegro,MNE,2023-04-27 17:00:00,2023-04-27 19:00:00,145.98
Montenegro,MNE,2023-04-27 18:00:00,2023-04-27 20:00:00,145.46
Montenegro,MNE,2023-04-27 19:00:00,2023-04-27 21:00:00,135.98
Montenegro,MNE,2023-04-27 20:00:00,2023-04-27 22:00:00,125.17
Montenegro,MNE,2023-04-27 21:00:00,2023-04-27 23:00:00,111.28
Montenegro,MNE,2023-04-27 22:00:00,2023-04-28 00:00:00,96.95
Montenegro,MNE,2023-04-27 23:00:00,2023-04-28 01:00:00,90.0
Montenegro,MNE,2023-04-28 00:00:00,2023-04-28 02:00:00,89.28
Montenegro,MNE,2023-04-28 01:00:00,2023-04-28 03:00:00,89.91
Montenegro,MNE,2023-04-28 02:00:00,2023-04-28 04:00:00,89.91
Montenegro,MNE,2023-04-28 03:00:00,2023-04-28 05:00:00,89.97
Montenegro,MNE,2023-04-28 04:00:00,2023-04-28 06:00:00,102.9
Montenegro,MNE,2023-04-28 05:00:00,2023-04-28 07:00:00,114.14
Montenegro,MNE,2023-04-28 06:00:00,2023-04-28 08:00:00,116.4
Montenegro,MNE,2023-04-28 07:00:00,2023-04-28 09:00:00,106.67
Montenegro,MNE,2023-04-28 08:00:00,2023-04-28 10:00:00,90.0
Montenegro,MNE,2023-04-28 09:00:00,2023-04-28 11:00:00,79.87
Montenegro,MNE,2023-04-28 10:00:00,2023-04-28 12:00:00,74.19
Montenegro,MNE,2023-04-28 11:00:00,2023-04-28 13:00:00,71.17
Montenegro,MNE,2023-04-28 12:00:00,2023-04-28 14:00:00,81.08
Montenegro,MNE,2023-04-28 13:00:00,2023-04-28 15:00:00,82.78
Montenegro,MNE,2023-04-28 14:00:00,2023-04-28 16:00:00,89.93
Montenegro,MNE,2023-04-28 15:00:00,2023-04-28 17:00:00,90.63
Montenegro,MNE,2023-04-28 16:00:00,2023-04-28 18:00:00,111.44
Montenegro,MNE,2023-04-28 17:00:00,2023-04-28 19:00:00,127.7
Montenegro,MNE,2023-04-28 18:00:00,2023-04-28 20:00:00,119.97
Montenegro,MNE,2023-04-28 19:00:00,2023-04-28 21:00:00,114.32
Montenegro,MNE,2023-04-28 20:00:00,2023-04-28 22:00:00,105.47
Montenegro,MNE,2023-04-28 21:00:00,2023-04-28 23:00:00,100.74
Montenegro,MNE,2023-04-28 22:00:00,2023-04-29 00:00:00,104.68
Montenegro,MNE,2023-04-28 23:00:00,2023-04-29 01:00:00,99.44
Montenegro,MNE,2023-04-29 00:00:00,2023-04-29 02:00:00,97.31
Montenegro,MNE,2023-04-29 01:00:00,2023-04-29 03:00:00,95.7
Montenegro,MNE,2023-04-29 02:00:00,2023-04-29 04:00:00,93.75
Montenegro,MNE,2023-04-29 03:00:00,2023-04-29 05:00:00,93.49
Montenegro,MNE,2023-04-29 04:00:00,2023-04-29 06:00:00,104.45
Montenegro,MNE,2023-04-29 05:00:00,2023-04-29 07:00:00,117.12
Montenegro,MNE,2023-04-29 06:00:00,2023-04-29 08:00:00,117.18
Montenegro,MNE,2023-04-29 07:00:00,2023-04-29 09:00:00,109.15
Montenegro,MNE,2023-04-29 08:00:00,2023-04-29 10:00:00,97.69
Montenegro,MNE,2023-04-29 09:00:00,2023-04-29 11:00:00,97.16
Montenegro,MNE,2023-04-29 10:00:00,2023-04-29 12:00:00,88.46
Montenegro,MNE,2023-04-29 11:00:00,2023-04-29 13:00:00,77.96
Montenegro,MNE,2023-04-29 12:00:00,2023-04-29 14:00:00,76.62
Montenegro,MNE,2023-04-29 13:00:00,2023-04-29 15:00:00,76.83
Montenegro,MNE,2023-04-29 14:00:00,2023-04-29 16:00:00,83.31
Montenegro,MNE,2023-04-29 15:00:00,2023-04-29 17:00:00,97.88
Montenegro,MNE,2023-04-29 16:00:00,2023-04-29 18:00:00,115.34
Montenegro,MNE,2023-04-29 17:00:00,2023-04-29 19:00:00,127.85
Montenegro,MNE,2023-04-29 18:00:00,2023-04-29 20:00:00,139.52
Montenegro,MNE,2023-04-29 19:00:00,2023-04-29 21:00:00,123.66
Montenegro,MNE,2023-04-29 20:00:00,2023-04-29 22:00:00,118.91
Montenegro,MNE,2023-04-29 21:00:00,2023-04-29 23:00:00,107.71
Montenegro,MNE,2023-04-29 22:00:00,2023-04-30 00:00:00,111.5
Montenegro,MNE,2023-04-29 23:00:00,2023-04-30 01:00:00,94.68
Montenegro,MNE,2023-04-30 00:00:00,2023-04-30 02:00:00,92.28
Montenegro,MNE,2023-04-30 01:00:00,2023-04-30 03:00:00,90.45
Montenegro,MNE,2023-04-30 02:00:00,2023-04-30 04:00:00,90.1
Montenegro,MNE,2023-04-30 03:00:00,2023-04-30 05:00:00,86.29
Montenegro,MNE,2023-04-30 04:00:00,2023-04-30 06:00:00,89.28
Montenegro,MNE,2023-04-30 05:00:00,2023-04-30 07:00:00,90.9
Montenegro,MNE,2023-04-30 06:00:00,2023-04-30 08:00:00,90.15
Montenegro,MNE,2023-04-30 07:00:00,2023-04-30 09:00:00,76.97
Montenegro,MNE,2023-04-30 08:00:00,2023-04-30 10:00:00,68.25
Montenegro,MNE,2023-04-30 09:00:00,2023-04-30 11:00:00,72.06
Montenegro,MNE,2023-04-30 10:00:00,2023-04-30 12:00:00,62.87
Montenegro,MNE,2023-04-30 11:00:00,2023-04-30 13:00:00,59.13
Montenegro,MNE,2023-04-30 12:00:00,2023-04-30 14:00:00,59.43
Montenegro,MNE,2023-04-30 13:00:00,2023-04-30 15:00:00,62.05
Montenegro,MNE,2023-04-30 14:00:00,2023-04-30 16:00:00,62.74
Montenegro,MNE,2023-04-30 15:00:00,2023-04-30 17:00:00,90.77
Montenegro,MNE,2023-04-30 16:00:00,2023-04-30 18:00:00,111.95
Montenegro,MNE,2023-04-30 17:00:00,2023-04-30 19:00:00,125.5
Montenegro,MNE,2023-04-30 18:00:00,2023-04-30 20:00:00,129.95
Montenegro,MNE,2023-04-30 19:00:00,2023-04-30 21:00:00,121.35
Montenegro,MNE,2023-04-30 20:00:00,2023-04-30 22:00:00,122.33
Montenegro,MNE,2023-04-30 21:00:00,2023-04-30 23:00:00,111.42
Montenegro,MNE,2023-04-30 22:00:00,2023-05-01 00:00:00,90.84
Montenegro,MNE,2023-04-30 23:00:00,2023-05-01 01:00:00,90.4
Montenegro,MNE,2023-05-01 00:00:00,2023-05-01 02:00:00,79.15
Montenegro,MNE,2023-05-01 01:00:00,2023-05-01 03:00:00,76.48
Montenegro,MNE,2023-05-01 02:00:00,2023-05-01 04:00:00,76.93
Montenegro,MNE,2023-05-01 03:00:00,2023-05-01 05:00:00,80.72
Montenegro,MNE,2023-05-01 04:00:00,2023-05-01 06:00:00,86.97
Montenegro,MNE,2023-05-01 05:00:00,2023-05-01 07:00:00,90.77
Montenegro,MNE,2023-05-01 06:00:00,2023-05-01 08:00:00,87.91
Montenegro,MNE,2023-05-01 07:00:00,2023-05-01 09:00:00,80.57
Montenegro,MNE,2023-05-01 08:00:00,2023-05-01 10:00:00,64.3
Montenegro,MNE,2023-05-01 09:00:00,2023-05-01 11:00:00,57.9
Montenegro,MNE,2023-05-01 10:00:00,2023-05-01 12:00:00,49.85
Montenegro,MNE,2023-05-01 11:00:00,2023-05-01 13:00:00,48.85
Montenegro,MNE,2023-05-01 12:00:00,2023-05-01 14:00:00,43.06
Montenegro,MNE,2023-05-01 13:00:00,2023-05-01 15:00:00,49.05
Montenegro,MNE,2023-05-01 14:00:00,2023-05-01 16:00:00,55.75
Montenegro,MNE,2023-05-01 15:00:00,2023-05-01 17:00:00,90.98
Montenegro,MNE,2023-05-01 16:00:00,2023-05-01 18:00:00,104.62
Montenegro,MNE,2023-05-01 17:00:00,2023-05-01 19:00:00,118.3
Montenegro,MNE,2023-05-01 18:00:00,2023-05-01 20:00:00,118.93
Montenegro,MNE,2023-05-01 19:00:00,2023-05-01 21:00:00,118.86
Montenegro,MNE,2023-05-01 20:00:00,2023-05-01 22:00:00,115.61
Montenegro,MNE,2023-05-01 21:00:00,2023-05-01 23:00:00,104.91
Montenegro,MNE,2023-05-01 22:00:00,2023-05-02 00:00:00,98.06
Montenegro,MNE,2023-05-01 23:00:00,2023-05-02 01:00:00,89.63
Montenegro,MNE,2023-05-02 00:00:00,2023-05-02 02:00:00,85.67
Montenegro,MNE,2023-05-02 01:00:00,2023-05-02 03:00:00,85.75
Montenegro,MNE,2023-05-02 02:00:00,2023-05-02 04:00:00,90.35
Montenegro,MNE,2023-05-02 03:00:00,2023-05-02 05:00:00,97.56
Montenegro,MNE,2023-05-02 04:00:00,2023-05-02 06:00:00,111.56
Montenegro,MNE,2023-05-02 05:00:00,2023-05-02 07:00:00,117.85
Montenegro,MNE,2023-05-02 06:00:00,2023-05-02 08:00:00,125.04
Montenegro,MNE,2023-05-02 07:00:00,2023-05-02 09:00:00,107.89
Montenegro,MNE,2023-05-02 08:00:00,2023-05-02 10:00:00,99.65
Montenegro,MNE,2023-05-02 09:00:00,2023-05-02 11:00:00,94.25
Montenegro,MNE,2023-05-02 10:00:00,2023-05-02 12:00:00,96.27
Montenegro,MNE,2023-05-02 11:00:00,2023-05-02 13:00:00,85.87
Montenegro,MNE,2023-05-02 12:00:00,2023-05-02 14:00:00,81.87
Montenegro,MNE,2023-05-02 13:00:00,2023-05-02 15:00:00,81.07
Montenegro,MNE,2023-05-02 14:00:00,2023-05-02 16:00:00,87.13
Montenegro,MNE,2023-05-02 15:00:00,2023-05-02 17:00:00,101.38
Montenegro,MNE,2023-05-02 16:00:00,2023-05-02 18:00:00,120.43
Montenegro,MNE,2023-05-02 17:00:00,2023-05-02 19:00:00,129.93
Montenegro,MNE,2023-05-02 18:00:00,2023-05-02 20:00:00,140.63
Montenegro,MNE,2023-05-02 19:00:00,2023-05-02 21:00:00,136.13
Montenegro,MNE,2023-05-02 20:00:00,2023-05-02 22:00:00,121.93
Montenegro,MNE,2023-05-02 21:00:00,2023-05-02 23:00:00,111.56
Montenegro,MNE,2023-05-02 22:00:00,2023-05-03 00:00:00,101.95
Montenegro,MNE,2023-05-02 23:00:00,2023-05-03 01:00:00,95.15
Montenegro,MNE,2023-05-03 00:00:00,2023-05-03 02:00:00,92.25
Montenegro,MNE,2023-05-03 01:00:00,2023-05-03 03:00:00,92.25
Montenegro,MNE,2023-05-03 02:00:00,2023-05-03 04:00:00,92.29
Montenegro,MNE,2023-05-03 03:00:00,2023-05-03 05:00:00,101.55
Montenegro,MNE,2023-05-03 04:00:00,2023-05-03 06:00:00,116.95
Montenegro,MNE,2023-05-03 05:00:00,2023-05-03 07:00:00,123.79
Montenegro,MNE,2023-05-03 06:00:00,2023-05-03 08:00:00,127.45
Montenegro,MNE,2023-05-03 07:00:00,2023-05-03 09:00:00,115.36
Montenegro,MNE,2023-05-03 08:00:00,2023-05-03 10:00:00,105.5
Montenegro,MNE,2023-05-03 09:00:00,2023-05-03 11:00:00,97.12
Montenegro,MNE,2023-05-03 10:00:00,2023-05-03 12:00:00,89.22
Montenegro,MNE,2023-05-03 11:00:00,2023-05-03 13:00:00,77.82
Montenegro,MNE,2023-05-03 12:00:00,2023-05-03 14:00:00,75.89
Montenegro,MNE,2023-05-03 13:00:00,2023-05-03 15:00:00,75.87
Montenegro,MNE,2023-05-03 14:00:00,2023-05-03 16:00:00,81.89
Montenegro,MNE,2023-05-03 15:00:00,2023-05-03 17:00:00,98.22
Montenegro,MNE,2023-05-03 16:00:00,2023-05-03 18:00:00,111.72
Montenegro,MNE,2023-05-03 17:00:00,2023-05-03 19:00:00,127.32
Montenegro,MNE,2023-05-03 18:00:00,2023-05-03 20:00:00,132.42
Montenegro,MNE,2023-05-03 19:00:00,2023-05-03 21:00:00,125.22
Montenegro,MNE,2023-05-03 20:00:00,2023-05-03 22:00:00,116.22
Montenegro,MNE,2023-05-03 21:00:00,2023-05-03 23:00:00,107.72
Montenegro,MNE,2023-05-03 22:00:00,2023-05-04 00:00:00,104.38
Montenegro,MNE,2023-05-03 23:00:00,2023-05-04 01:00:00,99.5
Montenegro,MNE,2023-05-04 00:00:00,2023-05-04 02:00:00,98.1
Montenegro,MNE,2023-05-04 01:00:00,2023-05-04 03:00:00,97.22
Montenegro,MNE,2023-05-04 02:00:00,2023-05-04 04:00:00,100.08
Montenegro,MNE,2023-05-04 03:00:00,2023-05-04 05:00:00,110.14
Montenegro,MNE,2023-05-04 04:00:00,2023-05-04 06:00:00,123.74
Montenegro,MNE,2023-05-04 05:00:00,2023-05-04 07:00:00,126.92
Montenegro,MNE,2023-05-04 06:00:00,2023-05-04 08:00:00,119.25
Montenegro,MNE,2023-05-04 07:00:00,2023-05-04 09:00:00,107.64
Montenegro,MNE,2023-05-04 08:00:00,2023-05-04 10:00:00,96.93
Montenegro,MNE,2023-05-04 09:00:00,2023-05-04 11:00:00,85.0
Montenegro,MNE,2023-05-04 10:00:00,2023-05-04 12:00:00,78.74
Montenegro,MNE,2023-05-04 11:00:00,2023-05-04 13:00:00,75.04
Montenegro,MNE,2023-05-04 12:00:00,2023-05-04 14:00:00,72.4
Montenegro,MNE,2023-05-04 13:00:00,2023-05-04 15:00:00,74.99
Montenegro,MNE,2023-05-04 14:00:00,2023-05-04 16:00:00,85.02
