Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Norway,NOR,2015-01-01 00:00:00,2015-01-01 01:00:00,27.35
Norway,NOR,2015-01-01 01:00:00,2015-01-01 02:00:00,27.23
Norway,NOR,2015-01-01 02:00:00,2015-01-01 03:00:00,27.15
Norway,NOR,2015-01-01 03:00:00,2015-01-01 04:00:00,27.14
Norway,NOR,2015-01-01 04:00:00,2015-01-01 05:00:00,27.29
Norway,NOR,2015-01-01 05:00:00,2015-01-01 06:00:00,27.45
Norway,NOR,2015-01-01 06:00:00,2015-01-01 07:00:00,27.29
Norway,NOR,2015-01-01 07:00:00,2015-01-01 08:00:00,27.4
Norway,NOR,2015-01-01 08:00:00,2015-01-01 09:00:00,27.41
Norway,NOR,2015-01-01 09:00:00,2015-01-01 10:00:00,27.46
Norway,NOR,2015-01-01 10:00:00,2015-01-01 11:00:00,27.52
Norway,NOR,2015-01-01 11:00:00,2015-01-01 12:00:00,27.51
Norway,NOR,2015-01-01 12:00:00,2015-01-01 13:00:00,27.46
Norway,NOR,2015-01-01 13:00:00,2015-01-01 14:00:00,27.45
Norway,NOR,2015-01-01 14:00:00,2015-01-01 15:00:00,27.85
Norway,NOR,2015-01-01 15:00:00,2015-01-01 16:00:00,28.39
Norway,NOR,2015-01-01 16:00:00,2015-01-01 17:00:00,28.41
Norway,NOR,2015-01-01 17:00:00,2015-01-01 18:00:00,28.28
Norway,NOR,2015-01-01 18:00:00,2015-01-01 19:00:00,28.01
Norway,NOR,2015-01-01 19:00:00,2015-01-01 20:00:00,27.81
Norway,NOR,2015-01-01 20:00:00,2015-01-01 21:00:00,27.58
Norway,NOR,2015-01-01 21:00:00,2015-01-01 22:00:00,27.5
Norway,NOR,2015-01-01 22:00:00,2015-01-01 23:00:00,27.34
Norway,NOR,2015-01-01 23:00:00,2015-01-02 00:00:00,27.15
Norway,NOR,2015-01-02 00:00:00,2015-01-02 01:00:00,26.96
Norway,NOR,2015-01-02 01:00:00,2015-01-02 02:00:00,26.79
Norway,NOR,2015-01-02 02:00:00,2015-01-02 03:00:00,26.39
Norway,NOR,2015-01-02 03:00:00,2015-01-02 04:00:00,25.8
Norway,NOR,2015-01-02 04:00:00,2015-01-02 05:00:00,26.81
Norway,NOR,2015-01-02 05:00:00,2015-01-02 06:00:00,27.73
Norway,NOR,2015-01-02 06:00:00,2015-01-02 07:00:00,28.55
Norway,NOR,2015-01-02 07:00:00,2015-01-02 08:00:00,28.56
Norway,NOR,2015-01-02 08:00:00,2015-01-02 09:00:00,28.56
Norway,NOR,2015-01-02 09:00:00,2015-01-02 10:00:00,28.57
Norway,NOR,2015-01-02 10:00:00,2015-01-02 11:00:00,28.59
Norway,NOR,2015-01-02 11:00:00,2015-01-02 12:00:00,28.51
Norway,NOR,2015-01-02 12:00:00,2015-01-02 13:00:00,28.45
Norway,NOR,2015-01-02 13:00:00,2015-01-02 14:00:00,28.39
Norway,NOR,2015-01-02 14:00:00,2015-01-02 15:00:00,28.5
Norway,NOR,2015-01-02 15:00:00,2015-01-02 16:00:00,28.75
Norway,NOR,2015-01-02 16:00:00,2015-01-02 17:00:00,28.82
Norway,NOR,2015-01-02 17:00:00,2015-01-02 18:00:00,28.61
Norway,NOR,2015-01-02 18:00:00,2015-01-02 19:00:00,28.53
Norway,NOR,2015-01-02 19:00:00,2015-01-02 20:00:00,28.18
Norway,NOR,2015-01-02 20:00:00,2015-01-02 21:00:00,27.88
Norway,NOR,2015-01-02 21:00:00,2015-01-02 22:00:00,27.68
Norway,NOR,2015-01-02 22:00:00,2015-01-02 23:00:00,27.35
Norway,NOR,2015-01-02 23:00:00,2015-01-03 00:00:00,26.55
Norway,NOR,2015-01-03 00:00:00,2015-01-03 01:00:00,26.31
Norway,NOR,2015-01-03 01:00:00,2015-01-03 02:00:00,26.21
Norway,NOR,2015-01-03 02:00:00,2015-01-03 03:00:00,26.14
Norway,NOR,2015-01-03 03:00:00,2015-01-03 04:00:00,26.08
Norway,NOR,2015-01-03 04:00:00,2015-01-03 05:00:00,26.07
Norway,NOR,2015-01-03 05:00:00,2015-01-03 06:00:00,26.28
Norway,NOR,2015-01-03 06:00:00,2015-01-03 07:00:00,27.1
Norway,NOR,2015-01-03 07:00:00,2015-01-03 08:00:00,27.27
Norway,NOR,2015-01-03 08:00:00,2015-01-03 09:00:00,27.75
Norway,NOR,2015-01-03 09:00:00,2015-01-03 10:00:00,27.92
Norway,NOR,2015-01-03 10:00:00,2015-01-03 11:00:00,27.93
Norway,NOR,2015-01-03 11:00:00,2015-01-03 12:00:00,27.89
Norway,NOR,2015-01-03 12:00:00,2015-01-03 13:00:00,27.9
Norway,NOR,2015-01-03 13:00:00,2015-01-03 14:00:00,28.01
Norway,NOR,2015-01-03 14:00:00,2015-01-03 15:00:00,28.38
Norway,NOR,2015-01-03 15:00:00,2015-01-03 16:00:00,28.78
Norway,NOR,2015-01-03 16:00:00,2015-01-03 17:00:00,29.07
Norway,NOR,2015-01-03 17:00:00,2015-01-03 18:00:00,29.07
Norway,NOR,2015-01-03 18:00:00,2015-01-03 19:00:00,28.81
Norway,NOR,2015-01-03 19:00:00,2015-01-03 20:00:00,28.44
Norway,NOR,2015-01-03 20:00:00,2015-01-03 21:00:00,28.07
Norway,NOR,2015-01-03 21:00:00,2015-01-03 22:00:00,27.89
Norway,NOR,2015-01-03 22:00:00,2015-01-03 23:00:00,27.54
Norway,NOR,2015-01-03 23:00:00,2015-01-04 00:00:00,27.72
Norway,NOR,2015-01-04 00:00:00,2015-01-04 01:00:00,27.58
Norway,NOR,2015-01-04 01:00:00,2015-01-04 02:00:00,27.4
Norway,NOR,2015-01-04 02:00:00,2015-01-04 03:00:00,27.3
Norway,NOR,2015-01-04 03:00:00,2015-01-04 04:00:00,27.3
Norway,NOR,2015-01-04 04:00:00,2015-01-04 05:00:00,27.42
Norway,NOR,2015-01-04 05:00:00,2015-01-04 06:00:00,27.41
Norway,NOR,2015-01-04 06:00:00,2015-01-04 07:00:00,27.38
Norway,NOR,2015-01-04 07:00:00,2015-01-04 08:00:00,27.74
Norway,NOR,2015-01-04 08:00:00,2015-01-04 09:00:00,28.07
Norway,NOR,2015-01-04 09:00:00,2015-01-04 10:00:00,28.25
Norway,NOR,2015-01-04 10:00:00,2015-01-04 11:00:00,28.32
Norway,NOR,2015-01-04 11:00:00,2015-01-04 12:00:00,28.26
Norway,NOR,2015-01-04 12:00:00,2015-01-04 13:00:00,28.29
Norway,NOR,2015-01-04 13:00:00,2015-01-04 14:00:00,28.34
Norway,NOR,2015-01-04 14:00:00,2015-01-04 15:00:00,28.61
Norway,NOR,2015-01-04 15:00:00,2015-01-04 16:00:00,29.01
Norway,NOR,2015-01-04 16:00:00,2015-01-04 17:00:00,29.25
Norway,NOR,2015-01-04 17:00:00,2015-01-04 18:00:00,29.65
Norway,NOR,2015-01-04 18:00:00,2015-01-04 19:00:00,29.52
Norway,NOR,2015-01-04 19:00:00,2015-01-04 20:00:00,29.08
Norway,NOR,2015-01-04 20:00:00,2015-01-04 21:00:00,28.78
Norway,NOR,2015-01-04 21:00:00,2015-01-04 22:00:00,28.79
Norway,NOR,2015-01-04 22:00:00,2015-01-04 23:00:00,28.12
Norway,NOR,2015-01-04 23:00:00,2015-01-05 00:00:00,28.45
Norway,NOR,2015-01-05 00:00:00,2015-01-05 01:00:00,28.37
Norway,NOR,2015-01-05 01:00:00,2015-01-05 02:00:00,28.36
Norway,NOR,2015-01-05 02:00:00,2015-01-05 03:00:00,28.33
Norway,NOR,2015-01-05 03:00:00,2015-01-05 04:00:00,28.43
Norway,NOR,2015-01-05 04:00:00,2015-01-05 05:00:00,29.02
Norway,NOR,2015-01-05 05:00:00,2015-01-05 06:00:00,29.54
Norway,NOR,2015-01-05 06:00:00,2015-01-05 07:00:00,31.53
Norway,NOR,2015-01-05 07:00:00,2015-01-05 08:00:00,36.76
Norway,NOR,2015-01-05 08:00:00,2015-01-05 09:00:00,38.75
Norway,NOR,2015-01-05 09:00:00,2015-01-05 10:00:00,38.08
Norway,NOR,2015-01-05 10:00:00,2015-01-05 11:00:00,38.23
Norway,NOR,2015-01-05 11:00:00,2015-01-05 12:00:00,36.74
Norway,NOR,2015-01-05 12:00:00,2015-01-05 13:00:00,35.48
Norway,NOR,2015-01-05 13:00:00,2015-01-05 14:00:00,36.31
Norway,NOR,2015-01-05 14:00:00,2015-01-05 15:00:00,39.59
Norway,NOR,2015-01-05 15:00:00,2015-01-05 16:00:00,41.82
Norway,NOR,2015-01-05 16:00:00,2015-01-05 17:00:00,47.42
Norway,NOR,2015-01-05 17:00:00,2015-01-05 18:00:00,35.52
Norway,NOR,2015-01-05 18:00:00,2015-01-05 19:00:00,32.95
Norway,NOR,2015-01-05 19:00:00,2015-01-05 20:00:00,32.17
Norway,NOR,2015-01-05 20:00:00,2015-01-05 21:00:00,31.44
Norway,NOR,2015-01-05 21:00:00,2015-01-05 22:00:00,30.37
Norway,NOR,2015-01-05 22:00:00,2015-01-05 23:00:00,29.38
Norway,NOR,2015-01-05 23:00:00,2015-01-06 00:00:00,28.68
Norway,NOR,2015-01-06 00:00:00,2015-01-06 01:00:00,28.53
Norway,NOR,2015-01-06 01:00:00,2015-01-06 02:00:00,28.38
Norway,NOR,2015-01-06 02:00:00,2015-01-06 03:00:00,28.27
Norway,NOR,2015-01-06 03:00:00,2015-01-06 04:00:00,28.39
Norway,NOR,2015-01-06 04:00:00,2015-01-06 05:00:00,28.51
Norway,NOR,2015-01-06 05:00:00,2015-01-06 06:00:00,29.01
Norway,NOR,2015-01-06 06:00:00,2015-01-06 07:00:00,30.03
Norway,NOR,2015-01-06 07:00:00,2015-01-06 08:00:00,30.5
Norway,NOR,2015-01-06 08:00:00,2015-01-06 09:00:00,30.35
Norway,NOR,2015-01-06 09:00:00,2015-01-06 10:00:00,30.53
Norway,NOR,2015-01-06 10:00:00,2015-01-06 11:00:00,30.08
Norway,NOR,2015-01-06 11:00:00,2015-01-06 12:00:00,29.75
Norway,NOR,2015-01-06 12:00:00,2015-01-06 13:00:00,29.7
Norway,NOR,2015-01-06 13:00:00,2015-01-06 14:00:00,29.7
Norway,NOR,2015-01-06 14:00:00,2015-01-06 15:00:00,29.88
Norway,NOR,2015-01-06 15:00:00,2015-01-06 16:00:00,30.24
Norway,NOR,2015-01-06 16:00:00,2015-01-06 17:00:00,30.06
Norway,NOR,2015-01-06 17:00:00,2015-01-06 18:00:00,29.86
Norway,NOR,2015-01-06 18:00:00,2015-01-06 19:00:00,29.3
Norway,NOR,2015-01-06 19:00:00,2015-01-06 20:00:00,28.8
Norway,NOR,2015-01-06 20:00:00,2015-01-06 21:00:00,28.45
Norway,NOR,2015-01-06 21:00:00,2015-01-06 22:00:00,27.85
Norway,NOR,2015-01-06 22:00:00,2015-01-06 23:00:00,27.32
Norway,NOR,2015-01-06 23:00:00,2015-01-07 00:00:00,26.44
Norway,NOR,2015-01-07 00:00:00,2015-01-07 01:00:00,26.22
Norway,NOR,2015-01-07 01:00:00,2015-01-07 02:00:00,26.17
Norway,NOR,2015-01-07 02:00:00,2015-01-07 03:00:00,26.27
Norway,NOR,2015-01-07 03:00:00,2015-01-07 04:00:00,26.74
Norway,NOR,2015-01-07 04:00:00,2015-01-07 05:00:00,27.88
Norway,NOR,2015-01-07 05:00:00,2015-01-07 06:00:00,29.02
Norway,NOR,2015-01-07 06:00:00,2015-01-07 07:00:00,32.02
Norway,NOR,2015-01-07 07:00:00,2015-01-07 08:00:00,32.85
Norway,NOR,2015-01-07 08:00:00,2015-01-07 09:00:00,32.55
Norway,NOR,2015-01-07 09:00:00,2015-01-07 10:00:00,32.53
Norway,NOR,2015-01-07 10:00:00,2015-01-07 11:00:00,32.25
Norway,NOR,2015-01-07 11:00:00,2015-01-07 12:00:00,31.61
Norway,NOR,2015-01-07 12:00:00,2015-01-07 13:00:00,31.41
Norway,NOR,2015-01-07 13:00:00,2015-01-07 14:00:00,31.29
Norway,NOR,2015-01-07 14:00:00,2015-01-07 15:00:00,31.63
Norway,NOR,2015-01-07 15:00:00,2015-01-07 16:00:00,32.28
Norway,NOR,2015-01-07 16:00:00,2015-01-07 17:00:00,31.32
Norway,NOR,2015-01-07 17:00:00,2015-01-07 18:00:00,30.81
Norway,NOR,2015-01-07 18:00:00,2015-01-07 19:00:00,29.68
Norway,NOR,2015-01-07 19:00:00,2015-01-07 20:00:00,28.76
Norway,NOR,2015-01-07 20:00:00,2015-01-07 21:00:00,28.14
Norway,NOR,2015-01-07 21:00:00,2015-01-07 22:00:00,27.3
Norway,NOR,2015-01-07 22:00:00,2015-01-07 23:00:00,26.56
Norway,NOR,2015-01-07 23:00:00,2015-01-08 00:00:00,26.27
Norway,NOR,2015-01-08 00:00:00,2015-01-08 01:00:00,25.54
Norway,NOR,2015-01-08 01:00:00,2015-01-08 02:00:00,25.16
Norway,NOR,2015-01-08 02:00:00,2015-01-08 03:00:00,25.01
Norway,NOR,2015-01-08 03:00:00,2015-01-08 04:00:00,25.06
Norway,NOR,2015-01-08 04:00:00,2015-01-08 05:00:00,26.12
Norway,NOR,2015-01-08 05:00:00,2015-01-08 06:00:00,27.29
Norway,NOR,2015-01-08 06:00:00,2015-01-08 07:00:00,28.14
Norway,NOR,2015-01-08 07:00:00,2015-01-08 08:00:00,28.57
Norway,NOR,2015-01-08 08:00:00,2015-01-08 09:00:00,28.62
Norway,NOR,2015-01-08 09:00:00,2015-01-08 10:00:00,28.72
Norway,NOR,2015-01-08 10:00:00,2015-01-08 11:00:00,28.84
Norway,NOR,2015-01-08 11:00:00,2015-01-08 12:00:00,28.84
Norway,NOR,2015-01-08 12:00:00,2015-01-08 13:00:00,28.98
Norway,NOR,2015-01-08 13:00:00,2015-01-08 14:00:00,28.99
Norway,NOR,2015-01-08 14:00:00,2015-01-08 15:00:00,29.03
Norway,NOR,2015-01-08 15:00:00,2015-01-08 16:00:00,29.4
Norway,NOR,2015-01-08 16:00:00,2015-01-08 17:00:00,29.47
Norway,NOR,2015-01-08 17:00:00,2015-01-08 18:00:00,28.89
Norway,NOR,2015-01-08 18:00:00,2015-01-08 19:00:00,28.49
Norway,NOR,2015-01-08 19:00:00,2015-01-08 20:00:00,28.05
Norway,NOR,2015-01-08 20:00:00,2015-01-08 21:00:00,27.7
Norway,NOR,2015-01-08 21:00:00,2015-01-08 22:00:00,26.92
Norway,NOR,2015-01-08 22:00:00,2015-01-08 23:00:00,26.14
Norway,NOR,2015-01-08 23:00:00,2015-01-09 00:00:00,25.97
Norway,NOR,2015-01-09 00:00:00,2015-01-09 01:00:00,25.57
Norway,NOR,2015-01-09 01:00:00,2015-01-09 02:00:00,25.43
Norway,NOR,2015-01-09 02:00:00,2015-01-09 03:00:00,25.41
Norway,NOR,2015-01-09 03:00:00,2015-01-09 04:00:00,25.66
Norway,NOR,2015-01-09 04:00:00,2015-01-09 05:00:00,26.34
Norway,NOR,2015-01-09 05:00:00,2015-01-09 06:00:00,27.07
Norway,NOR,2015-01-09 06:00:00,2015-01-09 07:00:00,28.29
Norway,NOR,2015-01-09 07:00:00,2015-01-09 08:00:00,28.75
Norway,NOR,2015-01-09 08:00:00,2015-01-09 09:00:00,28.66
Norway,NOR,2015-01-09 09:00:00,2015-01-09 10:00:00,28.76
Norway,NOR,2015-01-09 10:00:00,2015-01-09 11:00:00,28.68
Norway,NOR,2015-01-09 11:00:00,2015-01-09 12:00:00,28.55
Norway,NOR,2015-01-09 12:00:00,2015-01-09 13:00:00,28.3
Norway,NOR,2015-01-09 13:00:00,2015-01-09 14:00:00,28.06
Norway,NOR,2015-01-09 14:00:00,2015-01-09 15:00:00,28.12
Norway,NOR,2015-01-09 15:00:00,2015-01-09 16:00:00,28.42
Norway,NOR,2015-01-09 16:00:00,2015-01-09 17:00:00,28.68
Norway,NOR,2015-01-09 17:00:00,2015-01-09 18:00:00,28.47
Norway,NOR,2015-01-09 18:00:00,2015-01-09 19:00:00,28.13
Norway,NOR,2015-01-09 19:00:00,2015-01-09 20:00:00,27.68
Norway,NOR,2015-01-09 20:00:00,2015-01-09 21:00:00,27.32
Norway,NOR,2015-01-09 21:00:00,2015-01-09 22:00:00,26.84
Norway,NOR,2015-01-09 22:00:00,2015-01-09 23:00:00,26.45
Norway,NOR,2015-01-09 23:00:00,2015-01-10 00:00:00,26.48
Norway,NOR,2015-01-10 00:00:00,2015-01-10 01:00:00,26.22
Norway,NOR,2015-01-10 01:00:00,2015-01-10 02:00:00,25.98
Norway,NOR,2015-01-10 02:00:00,2015-01-10 03:00:00,26.0
Norway,NOR,2015-01-10 03:00:00,2015-01-10 04:00:00,26.01
Norway,NOR,2015-01-10 04:00:00,2015-01-10 05:00:00,25.87
Norway,NOR,2015-01-10 05:00:00,2015-01-10 06:00:00,26.05
Norway,NOR,2015-01-10 06:00:00,2015-01-10 07:00:00,26.3
Norway,NOR,2015-01-10 07:00:00,2015-01-10 08:00:00,26.68
Norway,NOR,2015-01-10 08:00:00,2015-01-10 09:00:00,26.79
Norway,NOR,2015-01-10 09:00:00,2015-01-10 10:00:00,26.91
Norway,NOR,2015-01-10 10:00:00,2015-01-10 11:00:00,26.88
Norway,NOR,2015-01-10 11:00:00,2015-01-10 12:00:00,26.78
Norway,NOR,2015-01-10 12:00:00,2015-01-10 13:00:00,26.66
Norway,NOR,2015-01-10 13:00:00,2015-01-10 14:00:00,26.62
Norway,NOR,2015-01-10 14:00:00,2015-01-10 15:00:00,26.68
Norway,NOR,2015-01-10 15:00:00,2015-01-10 16:00:00,26.88
Norway,NOR,2015-01-10 16:00:00,2015-01-10 17:00:00,27.01
Norway,NOR,2015-01-10 17:00:00,2015-01-10 18:00:00,26.9
Norway,NOR,2015-01-10 18:00:00,2015-01-10 19:00:00,26.69
Norway,NOR,2015-01-10 19:00:00,2015-01-10 20:00:00,26.66
Norway,NOR,2015-01-10 20:00:00,2015-01-10 21:00:00,26.54
Norway,NOR,2015-01-10 21:00:00,2015-01-10 22:00:00,26.11
Norway,NOR,2015-01-10 22:00:00,2015-01-10 23:00:00,25.75
Norway,NOR,2015-01-10 23:00:00,2015-01-11 00:00:00,25.5
Norway,NOR,2015-01-11 00:00:00,2015-01-11 01:00:00,24.94
Norway,NOR,2015-01-11 01:00:00,2015-01-11 02:00:00,24.78
Norway,NOR,2015-01-11 02:00:00,2015-01-11 03:00:00,24.38
Norway,NOR,2015-01-11 03:00:00,2015-01-11 04:00:00,24.48
Norway,NOR,2015-01-11 04:00:00,2015-01-11 05:00:00,24.74
Norway,NOR,2015-01-11 05:00:00,2015-01-11 06:00:00,24.76
Norway,NOR,2015-01-11 06:00:00,2015-01-11 07:00:00,25.16
Norway,NOR,2015-01-11 07:00:00,2015-01-11 08:00:00,25.58
Norway,NOR,2015-01-11 08:00:00,2015-01-11 09:00:00,26.14
Norway,NOR,2015-01-11 09:00:00,2015-01-11 10:00:00,26.44
Norway,NOR,2015-01-11 10:00:00,2015-01-11 11:00:00,26.73
Norway,NOR,2015-01-11 11:00:00,2015-01-11 12:00:00,26.69
Norway,NOR,2015-01-11 12:00:00,2015-01-11 13:00:00,26.66
Norway,NOR,2015-01-11 13:00:00,2015-01-11 14:00:00,26.66
Norway,NOR,2015-01-11 14:00:00,2015-01-11 15:00:00,26.81
Norway,NOR,2015-01-11 15:00:00,2015-01-11 16:00:00,27.21
Norway,NOR,2015-01-11 16:00:00,2015-01-11 17:00:00,27.36
Norway,NOR,2015-01-11 17:00:00,2015-01-11 18:00:00,27.38
Norway,NOR,2015-01-11 18:00:00,2015-01-11 19:00:00,27.26
Norway,NOR,2015-01-11 19:00:00,2015-01-11 20:00:00,27.14
Norway,NOR,2015-01-11 20:00:00,2015-01-11 21:00:00,26.91
Norway,NOR,2015-01-11 21:00:00,2015-01-11 22:00:00,26.72
Norway,NOR,2015-01-11 22:00:00,2015-01-11 23:00:00,26.48
Norway,NOR,2015-01-11 23:00:00,2015-01-12 00:00:00,27.13
Norway,NOR,2015-01-12 00:00:00,2015-01-12 01:00:00,26.99
Norway,NOR,2015-01-12 01:00:00,2015-01-12 02:00:00,26.75
Norway,NOR,2015-01-12 02:00:00,2015-01-12 03:00:00,26.72
Norway,NOR,2015-01-12 03:00:00,2015-01-12 04:00:00,26.9
Norway,NOR,2015-01-12 04:00:00,2015-01-12 05:00:00,26.96
Norway,NOR,2015-01-12 05:00:00,2015-01-12 06:00:00,28.08
Norway,NOR,2015-01-12 06:00:00,2015-01-12 07:00:00,30.24
Norway,NOR,2015-01-12 07:00:00,2015-01-12 08:00:00,32.23
Norway,NOR,2015-01-12 08:00:00,2015-01-12 09:00:00,30.67
Norway,NOR,2015-01-12 09:00:00,2015-01-12 10:00:00,29.52
Norway,NOR,2015-01-12 10:00:00,2015-01-12 11:00:00,29.06
Norway,NOR,2015-01-12 11:00:00,2015-01-12 12:00:00,28.6
Norway,NOR,2015-01-12 12:00:00,2015-01-12 13:00:00,28.55
Norway,NOR,2015-01-12 13:00:00,2015-01-12 14:00:00,28.34
Norway,NOR,2015-01-12 14:00:00,2015-01-12 15:00:00,28.55
Norway,NOR,2015-01-12 15:00:00,2015-01-12 16:00:00,28.76
Norway,NOR,2015-01-12 16:00:00,2015-01-12 17:00:00,28.85
Norway,NOR,2015-01-12 17:00:00,2015-01-12 18:00:00,28.67
Norway,NOR,2015-01-12 18:00:00,2015-01-12 19:00:00,28.07
Norway,NOR,2015-01-12 19:00:00,2015-01-12 20:00:00,27.64
Norway,NOR,2015-01-12 20:00:00,2015-01-12 21:00:00,27.29
Norway,NOR,2015-01-12 21:00:00,2015-01-12 22:00:00,27.11
Norway,NOR,2015-01-12 22:00:00,2015-01-12 23:00:00,26.56
Norway,NOR,2015-01-12 23:00:00,2015-01-13 00:00:00,26.46
Norway,NOR,2015-01-13 00:00:00,2015-01-13 01:00:00,26.29
Norway,NOR,2015-01-13 01:00:00,2015-01-13 02:00:00,26.22
Norway,NOR,2015-01-13 02:00:00,2015-01-13 03:00:00,26.04
Norway,NOR,2015-01-13 03:00:00,2015-01-13 04:00:00,26.32
Norway,NOR,2015-01-13 04:00:00,2015-01-13 05:00:00,26.88
Norway,NOR,2015-01-13 05:00:00,2015-01-13 06:00:00,27.97
Norway,NOR,2015-01-13 06:00:00,2015-01-13 07:00:00,29.42
Norway,NOR,2015-01-13 07:00:00,2015-01-13 08:00:00,29.83
Norway,NOR,2015-01-13 08:00:00,2015-01-13 09:00:00,29.35
Norway,NOR,2015-01-13 09:00:00,2015-01-13 10:00:00,29.22
Norway,NOR,2015-01-13 10:00:00,2015-01-13 11:00:00,28.9
Norway,NOR,2015-01-13 11:00:00,2015-01-13 12:00:00,28.6
Norway,NOR,2015-01-13 12:00:00,2015-01-13 13:00:00,28.62
Norway,NOR,2015-01-13 13:00:00,2015-01-13 14:00:00,28.98
Norway,NOR,2015-01-13 14:00:00,2015-01-13 15:00:00,29.31
Norway,NOR,2015-01-13 15:00:00,2015-01-13 16:00:00,29.99
Norway,NOR,2015-01-13 16:00:00,2015-01-13 17:00:00,31.79
Norway,NOR,2015-01-13 17:00:00,2015-01-13 18:00:00,31.7
Norway,NOR,2015-01-13 18:00:00,2015-01-13 19:00:00,30.27
Norway,NOR,2015-01-13 19:00:00,2015-01-13 20:00:00,28.21
Norway,NOR,2015-01-13 20:00:00,2015-01-13 21:00:00,27.8
Norway,NOR,2015-01-13 21:00:00,2015-01-13 22:00:00,27.22
Norway,NOR,2015-01-13 22:00:00,2015-01-13 23:00:00,26.57
Norway,NOR,2015-01-13 23:00:00,2015-01-14 00:00:00,26.35
Norway,NOR,2015-01-14 00:00:00,2015-01-14 01:00:00,25.99
Norway,NOR,2015-01-14 01:00:00,2015-01-14 02:00:00,25.91
Norway,NOR,2015-01-14 02:00:00,2015-01-14 03:00:00,25.91
Norway,NOR,2015-01-14 03:00:00,2015-01-14 04:00:00,26.07
Norway,NOR,2015-01-14 04:00:00,2015-01-14 05:00:00,26.59
Norway,NOR,2015-01-14 05:00:00,2015-01-14 06:00:00,27.44
Norway,NOR,2015-01-14 06:00:00,2015-01-14 07:00:00,29.03
Norway,NOR,2015-01-14 07:00:00,2015-01-14 08:00:00,31.6
Norway,NOR,2015-01-14 08:00:00,2015-01-14 09:00:00,30.9
Norway,NOR,2015-01-14 09:00:00,2015-01-14 10:00:00,30.11
Norway,NOR,2015-01-14 10:00:00,2015-01-14 11:00:00,29.86
Norway,NOR,2015-01-14 11:00:00,2015-01-14 12:00:00,29.16
