Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Slovakia,SVK,2015-01-01 00:00:00,2015-01-01 01:00:00,24.2
Slovakia,SVK,2015-01-01 01:00:00,2015-01-01 02:00:00,22.06
Slovakia,SVK,2015-01-01 02:00:00,2015-01-01 03:00:00,20.27
Slovakia,SVK,2015-01-01 03:00:00,2015-01-01 04:00:00,19.17
Slovakia,SVK,2015-01-01 04:00:00,2015-01-01 05:00:00,17.9
Slovakia,SVK,2015-01-01 05:00:00,2015-01-01 06:00:00,17.29
Slovakia,SVK,2015-01-01 06:00:00,2015-01-01 07:00:00,17.39
Slovakia,SVK,2015-01-01 07:00:00,2015-01-01 08:00:00,15.84
Slovakia,SVK,2015-01-01 08:00:00,2015-01-01 09:00:00,18.55
Slovakia,SVK,2015-01-01 09:00:00,2015-01-01 10:00:00,21.97
Slovakia,SVK,2015-01-01 10:00:00,2015-01-01 11:00:00,23.94
Slovakia,SVK,2015-01-01 11:00:00,2015-01-01 12:00:00,24.87
Slovakia,SVK,2015-01-01 12:00:00,2015-01-01 13:00:00,24.0
Slovakia,SVK,2015-01-01 13:00:00,2015-01-01 14:00:00,23.4
Slovakia,SVK,2015-01-01 14:00:00,2015-01-01 15:00:00,23.3
Slovakia,SVK,2015-01-01 15:00:00,2015-01-01 16:00:00,25.9
Slovakia,SVK,2015-01-01 16:00:00,2015-01-01 17:00:00,30.5
Slovakia,SVK,2015-01-01 17:00:00,2015-01-01 18:00:00,29.17
Slovakia,SVK,2015-01-01 18:00:00,2015-01-01 19:00:00,27.09
Slovakia,SVK,2015-01-01 19:00:00,2015-01-01 20:00:00,22.2
Slovakia,SVK,2015-01-01 20:00:00,2015-01-01 21:00:00,18.0
Slovakia,SVK,2015-01-01 21:00:00,2015-01-01 22:00:00,16.7
Slovakia,SVK,2015-01-01 22:00:00,2015-01-01 23:00:00,10.7
Slovakia,SVK,2015-01-01 23:00:00,2015-01-02 00:00:00,0.01
Slovakia,SVK,2015-01-02 00:00:00,2015-01-02 01:00:00,-0.3
Slovakia,SVK,2015-01-02 01:00:00,2015-01-02 02:00:00,-3.5
Slovakia,SVK,2015-01-02 02:00:00,2015-01-02 03:00:00,-4.2
Slovakia,SVK,2015-01-02 03:00:00,2015-01-02 04:00:00,-3.26
Slovakia,SVK,2015-01-02 04:00:00,2015-01-02 05:00:00,-0.2
Slovakia,SVK,2015-01-02 05:00:00,2015-01-02 06:00:00,1.8
Slovakia,SVK,2015-01-02 06:00:00,2015-01-02 07:00:00,8.7
Slovakia,SVK,2015-01-02 07:00:00,2015-01-02 08:00:00,13.15
Slovakia,SVK,2015-01-02 08:00:00,2015-01-02 09:00:00,28.51
Slovakia,SVK,2015-01-02 09:00:00,2015-01-02 10:00:00,19.0
Slovakia,SVK,2015-01-02 10:00:00,2015-01-02 11:00:00,19.15
Slovakia,SVK,2015-01-02 11:00:00,2015-01-02 12:00:00,20.0
Slovakia,SVK,2015-01-02 12:00:00,2015-01-02 13:00:00,37.03
Slovakia,SVK,2015-01-02 13:00:00,2015-01-02 14:00:00,36.74
Slovakia,SVK,2015-01-02 14:00:00,2015-01-02 15:00:00,36.9
Slovakia,SVK,2015-01-02 15:00:00,2015-01-02 16:00:00,38.81
Slovakia,SVK,2015-01-02 16:00:00,2015-01-02 17:00:00,26.0
Slovakia,SVK,2015-01-02 17:00:00,2015-01-02 18:00:00,25.5
Slovakia,SVK,2015-01-02 18:00:00,2015-01-02 19:00:00,23.0
Slovakia,SVK,2015-01-02 19:00:00,2015-01-02 20:00:00,37.25
Slovakia,SVK,2015-01-02 20:00:00,2015-01-02 21:00:00,14.0
Slovakia,SVK,2015-01-02 21:00:00,2015-01-02 22:00:00,11.65
Slovakia,SVK,2015-01-02 22:00:00,2015-01-02 23:00:00,5.0
Slovakia,SVK,2015-01-02 23:00:00,2015-01-03 00:00:00,0.59
Slovakia,SVK,2015-01-03 00:00:00,2015-01-03 01:00:00,-0.7
Slovakia,SVK,2015-01-03 01:00:00,2015-01-03 02:00:00,-2.0
Slovakia,SVK,2015-01-03 02:00:00,2015-01-03 03:00:00,-1.06
Slovakia,SVK,2015-01-03 03:00:00,2015-01-03 04:00:00,0.25
Slovakia,SVK,2015-01-03 04:00:00,2015-01-03 05:00:00,0.99
Slovakia,SVK,2015-01-03 05:00:00,2015-01-03 06:00:00,5.26
Slovakia,SVK,2015-01-03 06:00:00,2015-01-03 07:00:00,11.84
Slovakia,SVK,2015-01-03 07:00:00,2015-01-03 08:00:00,15.3
Slovakia,SVK,2015-01-03 08:00:00,2015-01-03 09:00:00,19.05
Slovakia,SVK,2015-01-03 09:00:00,2015-01-03 10:00:00,22.37
Slovakia,SVK,2015-01-03 10:00:00,2015-01-03 11:00:00,23.59
Slovakia,SVK,2015-01-03 11:00:00,2015-01-03 12:00:00,24.22
Slovakia,SVK,2015-01-03 12:00:00,2015-01-03 13:00:00,24.0
Slovakia,SVK,2015-01-03 13:00:00,2015-01-03 14:00:00,26.94
Slovakia,SVK,2015-01-03 14:00:00,2015-01-03 15:00:00,29.4
Slovakia,SVK,2015-01-03 15:00:00,2015-01-03 16:00:00,40.8
Slovakia,SVK,2015-01-03 16:00:00,2015-01-03 17:00:00,38.22
Slovakia,SVK,2015-01-03 17:00:00,2015-01-03 18:00:00,40.0
Slovakia,SVK,2015-01-03 18:00:00,2015-01-03 19:00:00,36.4
Slovakia,SVK,2015-01-03 19:00:00,2015-01-03 20:00:00,29.7
Slovakia,SVK,2015-01-03 20:00:00,2015-01-03 21:00:00,25.3
Slovakia,SVK,2015-01-03 21:00:00,2015-01-03 22:00:00,20.29
Slovakia,SVK,2015-01-03 22:00:00,2015-01-03 23:00:00,12.54
Slovakia,SVK,2015-01-03 23:00:00,2015-01-04 00:00:00,5.0
Slovakia,SVK,2015-01-04 00:00:00,2015-01-04 01:00:00,3.0
Slovakia,SVK,2015-01-04 01:00:00,2015-01-04 02:00:00,2.0
Slovakia,SVK,2015-01-04 02:00:00,2015-01-04 03:00:00,0.0
Slovakia,SVK,2015-01-04 03:00:00,2015-01-04 04:00:00,0.01
Slovakia,SVK,2015-01-04 04:00:00,2015-01-04 05:00:00,-1.45
Slovakia,SVK,2015-01-04 05:00:00,2015-01-04 06:00:00,-2.0
Slovakia,SVK,2015-01-04 06:00:00,2015-01-04 07:00:00,0.82
Slovakia,SVK,2015-01-04 07:00:00,2015-01-04 08:00:00,6.5
Slovakia,SVK,2015-01-04 08:00:00,2015-01-04 09:00:00,12.0
Slovakia,SVK,2015-01-04 09:00:00,2015-01-04 10:00:00,14.5
Slovakia,SVK,2015-01-04 10:00:00,2015-01-04 11:00:00,18.44
Slovakia,SVK,2015-01-04 11:00:00,2015-01-04 12:00:00,17.36
Slovakia,SVK,2015-01-04 12:00:00,2015-01-04 13:00:00,14.76
Slovakia,SVK,2015-01-04 13:00:00,2015-01-04 14:00:00,14.7
Slovakia,SVK,2015-01-04 14:00:00,2015-01-04 15:00:00,16.0
Slovakia,SVK,2015-01-04 15:00:00,2015-01-04 16:00:00,19.0
Slovakia,SVK,2015-01-04 16:00:00,2015-01-04 17:00:00,26.32
Slovakia,SVK,2015-01-04 17:00:00,2015-01-04 18:00:00,29.62
Slovakia,SVK,2015-01-04 18:00:00,2015-01-04 19:00:00,29.0
Slovakia,SVK,2015-01-04 19:00:00,2015-01-04 20:00:00,24.0
Slovakia,SVK,2015-01-04 20:00:00,2015-01-04 21:00:00,21.5
Slovakia,SVK,2015-01-04 21:00:00,2015-01-04 22:00:00,21.8
Slovakia,SVK,2015-01-04 22:00:00,2015-01-04 23:00:00,15.0
Slovakia,SVK,2015-01-04 23:00:00,2015-01-05 00:00:00,19.22
Slovakia,SVK,2015-01-05 00:00:00,2015-01-05 01:00:00,18.0
Slovakia,SVK,2015-01-05 01:00:00,2015-01-05 02:00:00,16.2
Slovakia,SVK,2015-01-05 02:00:00,2015-01-05 03:00:00,15.41
Slovakia,SVK,2015-01-05 03:00:00,2015-01-05 04:00:00,16.33
Slovakia,SVK,2015-01-05 04:00:00,2015-01-05 05:00:00,21.11
Slovakia,SVK,2015-01-05 05:00:00,2015-01-05 06:00:00,29.25
Slovakia,SVK,2015-01-05 06:00:00,2015-01-05 07:00:00,38.48
Slovakia,SVK,2015-01-05 07:00:00,2015-01-05 08:00:00,41.83
Slovakia,SVK,2015-01-05 08:00:00,2015-01-05 09:00:00,44.9
Slovakia,SVK,2015-01-05 09:00:00,2015-01-05 10:00:00,44.32
Slovakia,SVK,2015-01-05 10:00:00,2015-01-05 11:00:00,45.0
Slovakia,SVK,2015-01-05 11:00:00,2015-01-05 12:00:00,45.07
Slovakia,SVK,2015-01-05 12:00:00,2015-01-05 13:00:00,46.62
Slovakia,SVK,2015-01-05 13:00:00,2015-01-05 14:00:00,48.3
Slovakia,SVK,2015-01-05 14:00:00,2015-01-05 15:00:00,48.8
Slovakia,SVK,2015-01-05 15:00:00,2015-01-05 16:00:00,49.23
Slovakia,SVK,2015-01-05 16:00:00,2015-01-05 17:00:00,57.0
Slovakia,SVK,2015-01-05 17:00:00,2015-01-05 18:00:00,60.01
Slovakia,SVK,2015-01-05 18:00:00,2015-01-05 19:00:00,55.68
Slovakia,SVK,2015-01-05 19:00:00,2015-01-05 20:00:00,51.0
Slovakia,SVK,2015-01-05 20:00:00,2015-01-05 21:00:00,44.14
Slovakia,SVK,2015-01-05 21:00:00,2015-01-05 22:00:00,37.37
Slovakia,SVK,2015-01-05 22:00:00,2015-01-05 23:00:00,31.9
Slovakia,SVK,2015-01-05 23:00:00,2015-01-06 00:00:00,30.66
Slovakia,SVK,2015-01-06 00:00:00,2015-01-06 01:00:00,30.45
Slovakia,SVK,2015-01-06 01:00:00,2015-01-06 02:00:00,28.0
Slovakia,SVK,2015-01-06 02:00:00,2015-01-06 03:00:00,27.4
Slovakia,SVK,2015-01-06 03:00:00,2015-01-06 04:00:00,28.25
Slovakia,SVK,2015-01-06 04:00:00,2015-01-06 05:00:00,28.89
Slovakia,SVK,2015-01-06 05:00:00,2015-01-06 06:00:00,33.75
Slovakia,SVK,2015-01-06 06:00:00,2015-01-06 07:00:00,42.3
Slovakia,SVK,2015-01-06 07:00:00,2015-01-06 08:00:00,45.0
Slovakia,SVK,2015-01-06 08:00:00,2015-01-06 09:00:00,43.2
Slovakia,SVK,2015-01-06 09:00:00,2015-01-06 10:00:00,40.7
Slovakia,SVK,2015-01-06 10:00:00,2015-01-06 11:00:00,40.36
Slovakia,SVK,2015-01-06 11:00:00,2015-01-06 12:00:00,37.57
Slovakia,SVK,2015-01-06 12:00:00,2015-01-06 13:00:00,37.91
Slovakia,SVK,2015-01-06 13:00:00,2015-01-06 14:00:00,37.63
Slovakia,SVK,2015-01-06 14:00:00,2015-01-06 15:00:00,39.37
Slovakia,SVK,2015-01-06 15:00:00,2015-01-06 16:00:00,42.67
Slovakia,SVK,2015-01-06 16:00:00,2015-01-06 17:00:00,49.74
Slovakia,SVK,2015-01-06 17:00:00,2015-01-06 18:00:00,46.9
Slovakia,SVK,2015-01-06 18:00:00,2015-01-06 19:00:00,40.4
Slovakia,SVK,2015-01-06 19:00:00,2015-01-06 20:00:00,36.15
Slovakia,SVK,2015-01-06 20:00:00,2015-01-06 21:00:00,33.15
Slovakia,SVK,2015-01-06 21:00:00,2015-01-06 22:00:00,29.86
Slovakia,SVK,2015-01-06 22:00:00,2015-01-06 23:00:00,25.76
Slovakia,SVK,2015-01-06 23:00:00,2015-01-07 00:00:00,27.57
Slovakia,SVK,2015-01-07 00:00:00,2015-01-07 01:00:00,27.0
Slovakia,SVK,2015-01-07 01:00:00,2015-01-07 02:00:00,25.8
Slovakia,SVK,2015-01-07 02:00:00,2015-01-07 03:00:00,26.2
Slovakia,SVK,2015-01-07 03:00:00,2015-01-07 04:00:00,26.5
Slovakia,SVK,2015-01-07 04:00:00,2015-01-07 05:00:00,27.13
Slovakia,SVK,2015-01-07 05:00:00,2015-01-07 06:00:00,33.3
Slovakia,SVK,2015-01-07 06:00:00,2015-01-07 07:00:00,43.3
Slovakia,SVK,2015-01-07 07:00:00,2015-01-07 08:00:00,49.3
Slovakia,SVK,2015-01-07 08:00:00,2015-01-07 09:00:00,50.45
Slovakia,SVK,2015-01-07 09:00:00,2015-01-07 10:00:00,49.06
Slovakia,SVK,2015-01-07 10:00:00,2015-01-07 11:00:00,49.0
Slovakia,SVK,2015-01-07 11:00:00,2015-01-07 12:00:00,48.21
Slovakia,SVK,2015-01-07 12:00:00,2015-01-07 13:00:00,47.5
Slovakia,SVK,2015-01-07 13:00:00,2015-01-07 14:00:00,46.4
Slovakia,SVK,2015-01-07 14:00:00,2015-01-07 15:00:00,50.0
Slovakia,SVK,2015-01-07 15:00:00,2015-01-07 16:00:00,67.56
Slovakia,SVK,2015-01-07 16:00:00,2015-01-07 17:00:00,53.0
Slovakia,SVK,2015-01-07 17:00:00,2015-01-07 18:00:00,50.0
Slovakia,SVK,2015-01-07 18:00:00,2015-01-07 19:00:00,61.81
Slovakia,SVK,2015-01-07 19:00:00,2015-01-07 20:00:00,61.81
Slovakia,SVK,2015-01-07 20:00:00,2015-01-07 21:00:00,31.0
Slovakia,SVK,2015-01-07 21:00:00,2015-01-07 22:00:00,26.2
Slovakia,SVK,2015-01-07 22:00:00,2015-01-07 23:00:00,23.0
Slovakia,SVK,2015-01-07 23:00:00,2015-01-08 00:00:00,21.6
Slovakia,SVK,2015-01-08 00:00:00,2015-01-08 01:00:00,19.0
Slovakia,SVK,2015-01-08 01:00:00,2015-01-08 02:00:00,14.19
Slovakia,SVK,2015-01-08 02:00:00,2015-01-08 03:00:00,14.01
Slovakia,SVK,2015-01-08 03:00:00,2015-01-08 04:00:00,15.23
Slovakia,SVK,2015-01-08 04:00:00,2015-01-08 05:00:00,40.0
Slovakia,SVK,2015-01-08 05:00:00,2015-01-08 06:00:00,41.0
Slovakia,SVK,2015-01-08 06:00:00,2015-01-08 07:00:00,45.12
Slovakia,SVK,2015-01-08 07:00:00,2015-01-08 08:00:00,49.0
Slovakia,SVK,2015-01-08 08:00:00,2015-01-08 09:00:00,59.0
Slovakia,SVK,2015-01-08 09:00:00,2015-01-08 10:00:00,54.0
Slovakia,SVK,2015-01-08 10:00:00,2015-01-08 11:00:00,54.0
Slovakia,SVK,2015-01-08 11:00:00,2015-01-08 12:00:00,49.8
Slovakia,SVK,2015-01-08 12:00:00,2015-01-08 13:00:00,65.58
Slovakia,SVK,2015-01-08 13:00:00,2015-01-08 14:00:00,66.0
Slovakia,SVK,2015-01-08 14:00:00,2015-01-08 15:00:00,65.58
Slovakia,SVK,2015-01-08 15:00:00,2015-01-08 16:00:00,45.7
Slovakia,SVK,2015-01-08 16:00:00,2015-01-08 17:00:00,39.3
Slovakia,SVK,2015-01-08 17:00:00,2015-01-08 18:00:00,36.71
Slovakia,SVK,2015-01-08 18:00:00,2015-01-08 19:00:00,41.61
Slovakia,SVK,2015-01-08 19:00:00,2015-01-08 20:00:00,63.36
Slovakia,SVK,2015-01-08 20:00:00,2015-01-08 21:00:00,43.6
Slovakia,SVK,2015-01-08 21:00:00,2015-01-08 22:00:00,20.0
Slovakia,SVK,2015-01-08 22:00:00,2015-01-08 23:00:00,13.97
Slovakia,SVK,2015-01-08 23:00:00,2015-01-09 00:00:00,13.79
Slovakia,SVK,2015-01-09 00:00:00,2015-01-09 01:00:00,13.0
Slovakia,SVK,2015-01-09 01:00:00,2015-01-09 02:00:00,9.95
Slovakia,SVK,2015-01-09 02:00:00,2015-01-09 03:00:00,7.05
Slovakia,SVK,2015-01-09 03:00:00,2015-01-09 04:00:00,8.35
Slovakia,SVK,2015-01-09 04:00:00,2015-01-09 05:00:00,24.24
Slovakia,SVK,2015-01-09 05:00:00,2015-01-09 06:00:00,29.5
Slovakia,SVK,2015-01-09 06:00:00,2015-01-09 07:00:00,39.04
Slovakia,SVK,2015-01-09 07:00:00,2015-01-09 08:00:00,35.07
Slovakia,SVK,2015-01-09 08:00:00,2015-01-09 09:00:00,35.51
Slovakia,SVK,2015-01-09 09:00:00,2015-01-09 10:00:00,60.07
Slovakia,SVK,2015-01-09 10:00:00,2015-01-09 11:00:00,60.05
Slovakia,SVK,2015-01-09 11:00:00,2015-01-09 12:00:00,49.0
Slovakia,SVK,2015-01-09 12:00:00,2015-01-09 13:00:00,49.0
Slovakia,SVK,2015-01-09 13:00:00,2015-01-09 14:00:00,49.49
Slovakia,SVK,2015-01-09 14:00:00,2015-01-09 15:00:00,54.94
Slovakia,SVK,2015-01-09 15:00:00,2015-01-09 16:00:00,54.09
Slovakia,SVK,2015-01-09 16:00:00,2015-01-09 17:00:00,49.69
