Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Slovenia,SVN,2015-01-01 00:00:00,2015-01-01 01:00:00,23.25
Slovenia,SVN,2015-01-01 01:00:00,2015-01-01 02:00:00,22.2
Slovenia,SVN,2015-01-01 02:00:00,2015-01-01 03:00:00,19.56
Slovenia,SVN,2015-01-01 03:00:00,2015-01-01 04:00:00,18.88
Slovenia,SVN,2015-01-01 04:00:00,2015-01-01 05:00:00,18.39
Slovenia,SVN,2015-01-01 05:00:00,2015-01-01 06:00:00,18.98
Slovenia,SVN,2015-01-01 06:00:00,2015-01-01 07:00:00,23.56
Slovenia,SVN,2015-01-01 07:00:00,2015-01-01 08:00:00,24.33
Slovenia,SVN,2015-01-01 08:00:00,2015-01-01 09:00:00,26.0
Slovenia,SVN,2015-01-01 09:00:00,2015-01-01 10:00:00,30.0
Slovenia,SVN,2015-01-01 10:00:00,2015-01-01 11:00:00,33.86
Slovenia,SVN,2015-01-01 11:00:00,2015-01-01 12:00:00,34.0
Slovenia,SVN,2015-01-01 12:00:00,2015-01-01 13:00:00,32.75
Slovenia,SVN,2015-01-01 13:00:00,2015-01-01 14:00:00,30.0
Slovenia,SVN,2015-01-01 14:00:00,2015-01-01 15:00:00,32.49
Slovenia,SVN,2015-01-01 15:00:00,2015-01-01 16:00:00,34.1
Slovenia,SVN,2015-01-01 16:00:00,2015-01-01 17:00:00,42.88
Slovenia,SVN,2015-01-01 17:00:00,2015-01-01 18:00:00,45.66
Slovenia,SVN,2015-01-01 18:00:00,2015-01-01 19:00:00,43.0
Slovenia,SVN,2015-01-01 19:00:00,2015-01-01 20:00:00,41.98
Slovenia,SVN,2015-01-01 20:00:00,2015-01-01 21:00:00,39.0
Slovenia,SVN,2015-01-01 21:00:00,2015-01-01 22:00:00,35.35
Slovenia,SVN,2015-01-01 22:00:00,2015-01-01 23:00:00,29.9
Slovenia,SVN,2015-01-01 23:00:00,2015-01-02 00:00:00,40.0
Slovenia,SVN,2015-01-02 00:00:00,2015-01-02 01:00:00,38.18
Slovenia,SVN,2015-01-02 01:00:00,2015-01-02 02:00:00,33.26
Slovenia,SVN,2015-01-02 02:00:00,2015-01-02 03:00:00,26.3
Slovenia,SVN,2015-01-02 03:00:00,2015-01-02 04:00:00,25.0
Slovenia,SVN,2015-01-02 04:00:00,2015-01-02 05:00:00,38.85
Slovenia,SVN,2015-01-02 05:00:00,2015-01-02 06:00:00,32.0
Slovenia,SVN,2015-01-02 06:00:00,2015-01-02 07:00:00,56.15
Slovenia,SVN,2015-01-02 07:00:00,2015-01-02 08:00:00,59.61
Slovenia,SVN,2015-01-02 08:00:00,2015-01-02 09:00:00,42.85
Slovenia,SVN,2015-01-02 09:00:00,2015-01-02 10:00:00,39.39
Slovenia,SVN,2015-01-02 10:00:00,2015-01-02 11:00:00,45.0
Slovenia,SVN,2015-01-02 11:00:00,2015-01-02 12:00:00,45.0
Slovenia,SVN,2015-01-02 12:00:00,2015-01-02 13:00:00,41.95
Slovenia,SVN,2015-01-02 13:00:00,2015-01-02 14:00:00,39.2
Slovenia,SVN,2015-01-02 14:00:00,2015-01-02 15:00:00,40.0
Slovenia,SVN,2015-01-02 15:00:00,2015-01-02 16:00:00,48.23
Slovenia,SVN,2015-01-02 16:00:00,2015-01-02 17:00:00,62.93
Slovenia,SVN,2015-01-02 17:00:00,2015-01-02 18:00:00,65.0
Slovenia,SVN,2015-01-02 18:00:00,2015-01-02 19:00:00,57.0
Slovenia,SVN,2015-01-02 19:00:00,2015-01-02 20:00:00,54.0
Slovenia,SVN,2015-01-02 20:00:00,2015-01-02 21:00:00,51.0
Slovenia,SVN,2015-01-02 21:00:00,2015-01-02 22:00:00,51.75
Slovenia,SVN,2015-01-02 22:00:00,2015-01-02 23:00:00,51.6
Slovenia,SVN,2015-01-02 23:00:00,2015-01-03 00:00:00,37.0
Slovenia,SVN,2015-01-03 00:00:00,2015-01-03 01:00:00,31.77
Slovenia,SVN,2015-01-03 01:00:00,2015-01-03 02:00:00,24.09
Slovenia,SVN,2015-01-03 02:00:00,2015-01-03 03:00:00,21.74
Slovenia,SVN,2015-01-03 03:00:00,2015-01-03 04:00:00,21.9
Slovenia,SVN,2015-01-03 04:00:00,2015-01-03 05:00:00,35.0
Slovenia,SVN,2015-01-03 05:00:00,2015-01-03 06:00:00,36.0
Slovenia,SVN,2015-01-03 06:00:00,2015-01-03 07:00:00,45.0
Slovenia,SVN,2015-01-03 07:00:00,2015-01-03 08:00:00,59.61
Slovenia,SVN,2015-01-03 08:00:00,2015-01-03 09:00:00,46.0
Slovenia,SVN,2015-01-03 09:00:00,2015-01-03 10:00:00,47.6
Slovenia,SVN,2015-01-03 10:00:00,2015-01-03 11:00:00,52.89
Slovenia,SVN,2015-01-03 11:00:00,2015-01-03 12:00:00,50.99
Slovenia,SVN,2015-01-03 12:00:00,2015-01-03 13:00:00,49.4
Slovenia,SVN,2015-01-03 13:00:00,2015-01-03 14:00:00,48.1
Slovenia,SVN,2015-01-03 14:00:00,2015-01-03 15:00:00,50.0
Slovenia,SVN,2015-01-03 15:00:00,2015-01-03 16:00:00,58.91
Slovenia,SVN,2015-01-03 16:00:00,2015-01-03 17:00:00,63.2
Slovenia,SVN,2015-01-03 17:00:00,2015-01-03 18:00:00,55.86
Slovenia,SVN,2015-01-03 18:00:00,2015-01-03 19:00:00,50.24
Slovenia,SVN,2015-01-03 19:00:00,2015-01-03 20:00:00,47.54
Slovenia,SVN,2015-01-03 20:00:00,2015-01-03 21:00:00,42.14
Slovenia,SVN,2015-01-03 21:00:00,2015-01-03 22:00:00,41.4
Slovenia,SVN,2015-01-03 22:00:00,2015-01-03 23:00:00,39.1
Slovenia,SVN,2015-01-03 23:00:00,2015-01-04 00:00:00,24.54
Slovenia,SVN,2015-01-04 00:00:00,2015-01-04 01:00:00,16.52
Slovenia,SVN,2015-01-04 01:00:00,2015-01-04 02:00:00,14.02
Slovenia,SVN,2015-01-04 02:00:00,2015-01-04 03:00:00,13.06
Slovenia,SVN,2015-01-04 03:00:00,2015-01-04 04:00:00,12.96
Slovenia,SVN,2015-01-04 04:00:00,2015-01-04 05:00:00,17.87
Slovenia,SVN,2015-01-04 05:00:00,2015-01-04 06:00:00,23.43
Slovenia,SVN,2015-01-04 06:00:00,2015-01-04 07:00:00,36.9
Slovenia,SVN,2015-01-04 07:00:00,2015-01-04 08:00:00,41.25
Slovenia,SVN,2015-01-04 08:00:00,2015-01-04 09:00:00,45.01
Slovenia,SVN,2015-01-04 09:00:00,2015-01-04 10:00:00,45.01
Slovenia,SVN,2015-01-04 10:00:00,2015-01-04 11:00:00,47.0
Slovenia,SVN,2015-01-04 11:00:00,2015-01-04 12:00:00,45.66
Slovenia,SVN,2015-01-04 12:00:00,2015-01-04 13:00:00,40.14
Slovenia,SVN,2015-01-04 13:00:00,2015-01-04 14:00:00,39.1
Slovenia,SVN,2015-01-04 14:00:00,2015-01-04 15:00:00,43.0
Slovenia,SVN,2015-01-04 15:00:00,2015-01-04 16:00:00,47.5
Slovenia,SVN,2015-01-04 16:00:00,2015-01-04 17:00:00,58.66
Slovenia,SVN,2015-01-04 17:00:00,2015-01-04 18:00:00,54.48
Slovenia,SVN,2015-01-04 18:00:00,2015-01-04 19:00:00,55.68
Slovenia,SVN,2015-01-04 19:00:00,2015-01-04 20:00:00,55.29
Slovenia,SVN,2015-01-04 20:00:00,2015-01-04 21:00:00,50.0
Slovenia,SVN,2015-01-04 21:00:00,2015-01-04 22:00:00,45.01
Slovenia,SVN,2015-01-04 22:00:00,2015-01-04 23:00:00,45.01
Slovenia,SVN,2015-01-04 23:00:00,2015-01-05 00:00:00,21.46
Slovenia,SVN,2015-01-05 00:00:00,2015-01-05 01:00:00,20.1
Slovenia,SVN,2015-01-05 01:00:00,2015-01-05 02:00:00,18.8
Slovenia,SVN,2015-01-05 02:00:00,2015-01-05 03:00:00,17.3
Slovenia,SVN,2015-01-05 03:00:00,2015-01-05 04:00:00,17.26
Slovenia,SVN,2015-01-05 04:00:00,2015-01-05 05:00:00,21.7
Slovenia,SVN,2015-01-05 05:00:00,2015-01-05 06:00:00,31.7
Slovenia,SVN,2015-01-05 06:00:00,2015-01-05 07:00:00,43.32
Slovenia,SVN,2015-01-05 07:00:00,2015-01-05 08:00:00,49.0
Slovenia,SVN,2015-01-05 08:00:00,2015-01-05 09:00:00,49.28
Slovenia,SVN,2015-01-05 09:00:00,2015-01-05 10:00:00,49.2
Slovenia,SVN,2015-01-05 10:00:00,2015-01-05 11:00:00,50.0
Slovenia,SVN,2015-01-05 11:00:00,2015-01-05 12:00:00,50.47
Slovenia,SVN,2015-01-05 12:00:00,2015-01-05 13:00:00,50.0
Slovenia,SVN,2015-01-05 13:00:00,2015-01-05 14:00:00,49.57
Slovenia,SVN,2015-01-05 14:00:00,2015-01-05 15:00:00,49.95
Slovenia,SVN,2015-01-05 15:00:00,2015-01-05 16:00:00,55.95
Slovenia,SVN,2015-01-05 16:00:00,2015-01-05 17:00:00,65.97
Slovenia,SVN,2015-01-05 17:00:00,2015-01-05 18:00:00,67.0
Slovenia,SVN,2015-01-05 18:00:00,2015-01-05 19:00:00,61.5
Slovenia,SVN,2015-01-05 19:00:00,2015-01-05 20:00:00,55.95
Slovenia,SVN,2015-01-05 20:00:00,2015-01-05 21:00:00,49.5
Slovenia,SVN,2015-01-05 21:00:00,2015-01-05 22:00:00,43.61
Slovenia,SVN,2015-01-05 22:00:00,2015-01-05 23:00:00,36.08
Slovenia,SVN,2015-01-05 23:00:00,2015-01-06 00:00:00,29.9
Slovenia,SVN,2015-01-06 00:00:00,2015-01-06 01:00:00,27.97
Slovenia,SVN,2015-01-06 01:00:00,2015-01-06 02:00:00,27.31
Slovenia,SVN,2015-01-06 02:00:00,2015-01-06 03:00:00,26.5
Slovenia,SVN,2015-01-06 03:00:00,2015-01-06 04:00:00,26.0
Slovenia,SVN,2015-01-06 04:00:00,2015-01-06 05:00:00,29.74
Slovenia,SVN,2015-01-06 05:00:00,2015-01-06 06:00:00,39.91
Slovenia,SVN,2015-01-06 06:00:00,2015-01-06 07:00:00,49.16
Slovenia,SVN,2015-01-06 07:00:00,2015-01-06 08:00:00,50.72
Slovenia,SVN,2015-01-06 08:00:00,2015-01-06 09:00:00,48.59
Slovenia,SVN,2015-01-06 09:00:00,2015-01-06 10:00:00,45.6
Slovenia,SVN,2015-01-06 10:00:00,2015-01-06 11:00:00,45.5
Slovenia,SVN,2015-01-06 11:00:00,2015-01-06 12:00:00,44.43
Slovenia,SVN,2015-01-06 12:00:00,2015-01-06 13:00:00,44.45
Slovenia,SVN,2015-01-06 13:00:00,2015-01-06 14:00:00,43.09
Slovenia,SVN,2015-01-06 14:00:00,2015-01-06 15:00:00,43.74
Slovenia,SVN,2015-01-06 15:00:00,2015-01-06 16:00:00,48.6
Slovenia,SVN,2015-01-06 16:00:00,2015-01-06 17:00:00,57.44
Slovenia,SVN,2015-01-06 17:00:00,2015-01-06 18:00:00,59.92
Slovenia,SVN,2015-01-06 18:00:00,2015-01-06 19:00:00,52.66
Slovenia,SVN,2015-01-06 19:00:00,2015-01-06 20:00:00,48.49
Slovenia,SVN,2015-01-06 20:00:00,2015-01-06 21:00:00,42.2
Slovenia,SVN,2015-01-06 21:00:00,2015-01-06 22:00:00,36.45
Slovenia,SVN,2015-01-06 22:00:00,2015-01-06 23:00:00,31.23
Slovenia,SVN,2015-01-06 23:00:00,2015-01-07 00:00:00,27.47
Slovenia,SVN,2015-01-07 00:00:00,2015-01-07 01:00:00,26.5
Slovenia,SVN,2015-01-07 01:00:00,2015-01-07 02:00:00,25.12
Slovenia,SVN,2015-01-07 02:00:00,2015-01-07 03:00:00,24.2
Slovenia,SVN,2015-01-07 03:00:00,2015-01-07 04:00:00,25.5
Slovenia,SVN,2015-01-07 04:00:00,2015-01-07 05:00:00,28.97
Slovenia,SVN,2015-01-07 05:00:00,2015-01-07 06:00:00,39.75
Slovenia,SVN,2015-01-07 06:00:00,2015-01-07 07:00:00,53.5
Slovenia,SVN,2015-01-07 07:00:00,2015-01-07 08:00:00,63.5
Slovenia,SVN,2015-01-07 08:00:00,2015-01-07 09:00:00,65.0
Slovenia,SVN,2015-01-07 09:00:00,2015-01-07 10:00:00,60.0
Slovenia,SVN,2015-01-07 10:00:00,2015-01-07 11:00:00,57.78
Slovenia,SVN,2015-01-07 11:00:00,2015-01-07 12:00:00,54.99
Slovenia,SVN,2015-01-07 12:00:00,2015-01-07 13:00:00,52.62
Slovenia,SVN,2015-01-07 13:00:00,2015-01-07 14:00:00,55.06
Slovenia,SVN,2015-01-07 14:00:00,2015-01-07 15:00:00,58.26
Slovenia,SVN,2015-01-07 15:00:00,2015-01-07 16:00:00,65.0
Slovenia,SVN,2015-01-07 16:00:00,2015-01-07 17:00:00,65.21
Slovenia,SVN,2015-01-07 17:00:00,2015-01-07 18:00:00,63.0
Slovenia,SVN,2015-01-07 18:00:00,2015-01-07 19:00:00,58.23
Slovenia,SVN,2015-01-07 19:00:00,2015-01-07 20:00:00,52.1
Slovenia,SVN,2015-01-07 20:00:00,2015-01-07 21:00:00,50.55
Slovenia,SVN,2015-01-07 21:00:00,2015-01-07 22:00:00,49.61
Slovenia,SVN,2015-01-07 22:00:00,2015-01-07 23:00:00,42.08
Slovenia,SVN,2015-01-07 23:00:00,2015-01-08 00:00:00,37.0
Slovenia,SVN,2015-01-08 00:00:00,2015-01-08 01:00:00,32.6
Slovenia,SVN,2015-01-08 01:00:00,2015-01-08 02:00:00,29.4
Slovenia,SVN,2015-01-08 02:00:00,2015-01-08 03:00:00,29.0
Slovenia,SVN,2015-01-08 03:00:00,2015-01-08 04:00:00,30.0
Slovenia,SVN,2015-01-08 04:00:00,2015-01-08 05:00:00,38.0
Slovenia,SVN,2015-01-08 05:00:00,2015-01-08 06:00:00,48.0
Slovenia,SVN,2015-01-08 06:00:00,2015-01-08 07:00:00,64.0
Slovenia,SVN,2015-01-08 07:00:00,2015-01-08 08:00:00,73.9
Slovenia,SVN,2015-01-08 08:00:00,2015-01-08 09:00:00,73.18
Slovenia,SVN,2015-01-08 09:00:00,2015-01-08 10:00:00,70.0
Slovenia,SVN,2015-01-08 10:00:00,2015-01-08 11:00:00,65.2
Slovenia,SVN,2015-01-08 11:00:00,2015-01-08 12:00:00,57.75
Slovenia,SVN,2015-01-08 12:00:00,2015-01-08 13:00:00,57.89
Slovenia,SVN,2015-01-08 13:00:00,2015-01-08 14:00:00,65.0
Slovenia,SVN,2015-01-08 14:00:00,2015-01-08 15:00:00,65.0
Slovenia,SVN,2015-01-08 15:00:00,2015-01-08 16:00:00,65.99
Slovenia,SVN,2015-01-08 16:00:00,2015-01-08 17:00:00,67.08
Slovenia,SVN,2015-01-08 17:00:00,2015-01-08 18:00:00,64.0
Slovenia,SVN,2015-01-08 18:00:00,2015-01-08 19:00:00,62.0
Slovenia,SVN,2015-01-08 19:00:00,2015-01-08 20:00:00,57.2
Slovenia,SVN,2015-01-08 20:00:00,2015-01-08 21:00:00,51.01
Slovenia,SVN,2015-01-08 21:00:00,2015-01-08 22:00:00,50.26
Slovenia,SVN,2015-01-08 22:00:00,2015-01-08 23:00:00,45.78
Slovenia,SVN,2015-01-08 23:00:00,2015-01-09 00:00:00,35.09
Slovenia,SVN,2015-01-09 00:00:00,2015-01-09 01:00:00,27.47
Slovenia,SVN,2015-01-09 01:00:00,2015-01-09 02:00:00,23.33
Slovenia,SVN,2015-01-09 02:00:00,2015-01-09 03:00:00,19.15
Slovenia,SVN,2015-01-09 03:00:00,2015-01-09 04:00:00,19.86
Slovenia,SVN,2015-01-09 04:00:00,2015-01-09 05:00:00,32.5
Slovenia,SVN,2015-01-09 05:00:00,2015-01-09 06:00:00,44.52
Slovenia,SVN,2015-01-09 06:00:00,2015-01-09 07:00:00,59.5
Slovenia,SVN,2015-01-09 07:00:00,2015-01-09 08:00:00,69.65
Slovenia,SVN,2015-01-09 08:00:00,2015-01-09 09:00:00,71.94
Slovenia,SVN,2015-01-09 09:00:00,2015-01-09 10:00:00,65.39
Slovenia,SVN,2015-01-09 10:00:00,2015-01-09 11:00:00,63.98
Slovenia,SVN,2015-01-09 11:00:00,2015-01-09 12:00:00,52.44
Slovenia,SVN,2015-01-09 12:00:00,2015-01-09 13:00:00,51.05
Slovenia,SVN,2015-01-09 13:00:00,2015-01-09 14:00:00,54.45
Slovenia,SVN,2015-01-09 14:00:00,2015-01-09 15:00:00,58.0
Slovenia,SVN,2015-01-09 15:00:00,2015-01-09 16:00:00,61.0
Slovenia,SVN,2015-01-09 16:00:00,2015-01-09 17:00:00,65.04
Slovenia,SVN,2015-01-09 17:00:00,2015-01-09 18:00:00,62.73
Slovenia,SVN,2015-01-09 18:00:00,2015-01-09 19:00:00,58.43
Slovenia,SVN,2015-01-09 19:00:00,2015-01-09 20:00:00,51.8
Slovenia,SVN,2015-01-09 20:00:00,2015-01-09 21:00:00,48.0
Slovenia,SVN,2015-01-09 21:00:00,2015-01-09 22:00:00,44.49
Slovenia,SVN,2015-01-09 22:00:00,2015-01-09 23:00:00,33.32
Slovenia,SVN,2015-01-09 23:00:00,2015-01-10 00:00:00,22.83
Slovenia,SVN,2015-01-10 00:00:00,2015-01-10 01:00:00,17.28
