Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Switzerland,CHE,2015-01-01 00:00:00,2015-01-01 01:00:00,43.43
Switzerland,CHE,2015-01-01 01:00:00,2015-01-01 02:00:00,38.08
Switzerland,CHE,2015-01-01 02:00:00,2015-01-01 03:00:00,35.47
Switzerland,CHE,2015-01-01 03:00:00,2015-01-01 04:00:00,30.83
Switzerland,CHE,2015-01-01 04:00:00,2015-01-01 05:00:00,28.26
Switzerland,CHE,2015-01-01 05:00:00,2015-01-01 06:00:00,25.36
Switzerland,CHE,2015-01-01 06:00:00,2015-01-01 07:00:00,26.93
Switzerland,CHE,2015-01-01 07:00:00,2015-01-01 08:00:00,24.95
Switzerland,CHE,2015-01-01 08:00:00,2015-01-01 09:00:00,26.71
Switzerland,CHE,2015-01-01 09:00:00,2015-01-01 10:00:00,30.04
Switzerland,CHE,2015-01-01 10:00:00,2015-01-01 11:00:00,31.77
Switzerland,CHE,2015-01-01 11:00:00,2015-01-01 12:00:00,35.09
Switzerland,CHE,2015-01-01 12:00:00,2015-01-01 13:00:00,35.39
Switzerland,CHE,2015-01-01 13:00:00,2015-01-01 14:00:00,31.47
Switzerland,CHE,2015-01-01 14:00:00,2015-01-01 15:00:00,29.08
Switzerland,CHE,2015-01-01 15:00:00,2015-01-01 16:00:00,31.03
Switzerland,CHE,2015-01-01 16:00:00,2015-01-01 17:00:00,39.09
Switzerland,CHE,2015-01-01 17:00:00,2015-01-01 18:00:00,47.82
Switzerland,CHE,2015-01-01 18:00:00,2015-01-01 19:00:00,50.75
Switzerland,CHE,2015-01-01 19:00:00,2015-01-01 20:00:00,49.3
Switzerland,CHE,2015-01-01 20:00:00,2015-01-01 21:00:00,48.24
Switzerland,CHE,2015-01-01 21:00:00,2015-01-01 22:00:00,49.04
Switzerland,CHE,2015-01-01 22:00:00,2015-01-01 23:00:00,46.14
Switzerland,CHE,2015-01-01 23:00:00,2015-01-02 00:00:00,42.29
Switzerland,CHE,2015-01-02 00:00:00,2015-01-02 01:00:00,38.1
Switzerland,CHE,2015-01-02 01:00:00,2015-01-02 02:00:00,38.03
Switzerland,CHE,2015-01-02 02:00:00,2015-01-02 03:00:00,32.06
Switzerland,CHE,2015-01-02 03:00:00,2015-01-02 04:00:00,27.66
Switzerland,CHE,2015-01-02 04:00:00,2015-01-02 05:00:00,28.0
Switzerland,CHE,2015-01-02 05:00:00,2015-01-02 06:00:00,33.44
Switzerland,CHE,2015-01-02 06:00:00,2015-01-02 07:00:00,37.1
Switzerland,CHE,2015-01-02 07:00:00,2015-01-02 08:00:00,39.34
Switzerland,CHE,2015-01-02 08:00:00,2015-01-02 09:00:00,41.82
Switzerland,CHE,2015-01-02 09:00:00,2015-01-02 10:00:00,42.19
Switzerland,CHE,2015-01-02 10:00:00,2015-01-02 11:00:00,43.0
Switzerland,CHE,2015-01-02 11:00:00,2015-01-02 12:00:00,44.02
Switzerland,CHE,2015-01-02 12:00:00,2015-01-02 13:00:00,42.48
Switzerland,CHE,2015-01-02 13:00:00,2015-01-02 14:00:00,39.12
Switzerland,CHE,2015-01-02 14:00:00,2015-01-02 15:00:00,38.05
Switzerland,CHE,2015-01-02 15:00:00,2015-01-02 16:00:00,39.49
Switzerland,CHE,2015-01-02 16:00:00,2015-01-02 17:00:00,47.91
Switzerland,CHE,2015-01-02 17:00:00,2015-01-02 18:00:00,52.88
Switzerland,CHE,2015-01-02 18:00:00,2015-01-02 19:00:00,52.96
Switzerland,CHE,2015-01-02 19:00:00,2015-01-02 20:00:00,49.91
