jaar,maand,kwh pv total,kwh pv paklokaal,kwh pv stallen,kwh consumption,kwh grid import,kwh grid export,kenter import,kenter export
2023,11,6862.34,3992.12,2870.22,17257.12,15038,1773.00,14512,1538
2023,12,3315.5,2047.61,1267.89,21370.61,19653,330.00,19396,277
2024,1,7228.43,3756.94,3471.49,18843.94,17278,2191.00,16700,1977
2024,2,7215.86,4731.69,2484.17,20691.69,17074,1114.00,16623,996
2024,3,21745.69,12748.79,8996.9,15513.79,13320,10555.00,12455,10168
2024,4,30552.76,18358.85,12193.91,12753.85,10435,16040.00,9567,15439
2024,5,41952.72,25377.91,16574.81,20422.91,15409,20364.00,15338,19466
2024,6,39202.26,23821.21,15381.05,22862.21,16400,17359.00,16200,16578
2024,7,40598.24,24386.95,16211.29,25848.95,18873,17411.00,19215,16384
2024,8,37448.1,22073.63,15374.47,28463.63,21351,14961.00,21933,14018
2024,9,25237.29,14440.67,10796.62,26595.67,21642,9487.00,21777,8924
2024,10,14863.83,8251.95,6611.88,27546.95,23737,4442.00,24235,4038
2024,11,6743.15,3546.48,3196.67,25650.48,23661,1557.00,24104,1365
2024,12,3039.13,1866.31,1172.82,33318.31,31630,178.00,31684,151
2025,1,5924.16,3233.34,2690.82,27978.34,25807,1062.00,25693,986
2025,2,12654.8,6909.67,5745.13,20682.67,18521,4748.00,18250,4534
2025,3,31867.76,17506.14,14361.62,16586.14,15848,16768.00,15260,16211
2025,4,38025.76,22131.5,15894.26,21503.5,18381,19009.00,18005,18453
2025,5,46231.82,27804.44,18427.38,26294.44,19516,21026.00,18773,20280
2025,6,41927.15,25977.24,15949.91,20707.24,15039,20309.00,14384,19889
2025,7,38274.61,23683.07,14591.54,17531.43,13610,19257.00,13309,19362
2025,8,36100.86,21965.48,14135.38,18605.02,14942,17305.00,14596,18041
2025,9,24823.12,14786.92,10036.2,24181.92,19840,10445.00,18889,10357
2025,10,12065.81,7331.14,4734.67,28403.14,24042,2970.00,22996,2966
